time,stage_id,asset_dtaas_three_tank__tank1.outPort,asset_dtaas_three_tank__tank1.leak
8.2,stage1,2,0
8.21,stage1,2,0
8.22,stage1,2,0
8.23,stage1,2,0
8.24,stage1,2,0
8.25,stage1,2,0
8.26,stage1,2,0
8.27,stage1,2,0
8.28,stage1,2,0
8.29,stage1,2,0
8.3,stage1,2,0
8.31,stage1,2,0
8.32,stage1,2,0
8.33,stage1,2,0
8.34,stage1,2,0
8.35,stage1,2,0
8.36,stage1,2,0
8.37,stage1,2,0
8.38,stage1,2,0
8.39,stage1,2,0
8.4,stage1,2,0
8.41,stage1,2,0
8.42,stage1,2,0
8.43,stage1,2,0
8.44,stage1,2,0
8.45,stage1,2,0
8.46,stage1,2,0
8.47,stage1,2,0
8.48,stage1,2,0
8.49,stage1,2,0
8.5,stage1,2,0
8.51,stage1,2,0
8.52,stage1,2,0
8.53,stage1,2,0
8.54,stage1,2,0
8.55,stage1,2,0
8.56,stage1,2,0
8.57,stage1,2,0
8.58,stage1,2,0
8.59,stage1,2,0
8.6,stage1,2,0
8.61,stage1,2,0
8.62,stage1,2,0
8.63,stage1,2,0
8.64,stage1,2,0
8.65,stage1,2,0
8.66,stage1,2,0
8.67,stage1,2,0
8.68,stage1,2,0
8.69,stage1,2,0
8.7,stage1,2,0
8.71,stage1,2,0
8.72,stage1,2,0
8.73,stage1,2,0
8.74,stage1,2,0
8.75,stage1,2,0
8.76,stage1,2,0
8.77,stage1,2,0
8.78,stage1,2,0
8.79,stage1,2,0
8.8,stage1,2,0
8.81,stage1,2,0
8.82,stage1,2,0
8.83,stage1,2,0
8.84,stage1,2,0
8.85,stage1,2,0
8.86,stage1,2,0
8.87,stage1,2,0
8.88,stage1,2,0
8.89,stage1,2,0
8.9,stage1,2,0
8.91,stage1,2,0
8.92,stage1,2,0
8.93,stage1,2,0
8.94,stage1,2,0
8.95,stage1,2,0
8.96,stage1,2,0
8.97,stage1,2,0
8.98,stage1,2,0
8.99,stage1,2,0
9.0,stage1,2,0
9.01,stage1,2,0
9.02,stage1,2,0
9.03,stage1,2,0
9.04,stage1,2,0
9.05,stage1,2,0
9.06,stage1,2,0
9.07,stage1,2,0
9.08,stage1,2,0
9.09,stage1,2,0
9.1,stage1,2,0
9.11,stage1,2,0
9.12,stage1,2,0
9.13,stage1,2,0
9.14,stage1,2,0
9.15,stage1,2,0
9.16,stage1,2,0
9.17,stage1,2,0
9.18,stage1,2,0
9.19,stage1,2,0
9.2,stage1,2,0
9.21,stage1,2,0
9.22,stage1,2,0
9.23,stage1,2,0
9.24,stage1,2,0
9.25,stage1,2,0
9.26,stage1,2,0
9.27,stage1,2,0
9.28,stage1,2,0
9.29,stage1,2,0
9.3,stage1,2,0
9.31,stage1,2,0
9.32,stage1,2,0
9.33,stage1,2,0
9.34,stage1,2,0
9.35,stage1,2,0
9.36,stage1,2,0
9.37,stage1,2,0
9.38,stage1,2,0
9.39,stage1,2,0
9.4,stage1,2,0
9.41,stage1,2,0
9.42,stage1,2,0
9.43,stage1,2,0
9.44,stage1,2,0
9.45,stage1,2,0
9.46,stage1,2,0
9.47,stage1,2,0
9.48,stage1,2,0
9.49,stage1,2,0
9.5,stage1,2,0
9.51,stage1,2,0
9.52,stage1,2,0
9.53,stage1,2,0
9.54,stage1,2,0
9.55,stage1,2,0
9.56,stage1,2,0
9.57,stage1,2,0
9.58,stage1,2,0
9.59,stage1,2,0
9.6,stage1,2,0
9.61,stage1,2,0
9.62,stage1,2,0
9.63,stage1,2,0
9.64,stage1,2,0
9.65,stage1,2,0
9.66,stage1,2,0
9.67,stage1,2,0
9.68,stage1,2,0
9.69,stage1,2,0
9.7,stage1,2,0
9.71,stage1,2,0
9.72,stage1,2,0
9.73,stage1,2,0
9.74,stage1,2,0
9.75,stage1,2,0
9.76,stage1,2,0
9.77,stage1,2,0
9.78,stage1,2,0
9.79,stage1,2,0
9.8,stage1,2,0
9.81,stage1,2,0
9.82,stage1,2,0
9.83,stage1,2,0
9.84,stage1,2,0
9.85,stage1,2,0
9.86,stage1,2,0
9.87,stage1,2,0
9.88,stage1,2,0
9.89,stage1,2,0
9.9,stage1,2,0
9.91,stage1,2,0
9.92,stage1,2,0
9.93,stage1,2,0
9.94,stage1,2,0
9.95,stage1,2,0
9.96,stage1,2,0
9.97,stage1,2,0
9.98,stage1,2,0
9.99,stage1,2,0
10.0,stage1,2,0
