time,stage_id,enable,load_force_N_profile,x_ref_m_profile,x_m,valve_cmd,spool_u,pA_Pa,pB_Pa
0.38,stage1,True,0.0,0.05,1021641.4546454231,0.0,0.0,21000000.0,100000.0
0.39,stage1,True,0.0,0.05,-1866685.1429901174,0.0,0.0,100000.0,21000000.0
0.4,stage1,True,0.0,0.05,3410701.538303411,0.0,0.0,21000000.0,100000.0
0.41,stage1,True,0.0,0.05,-6231840.66275564,0.0,0.0,100000.0,21000000.0
0.42,stage1,True,0.0,0.05,11386466.92071479,0.0,0.0,21000000.0,100000.0
0.43,stage1,True,0.0,0.05,-20804708.26099608,0.0,0.0,100000.0,21000000.0
0.44,stage1,True,0.0,0.05,38013186.72169733,0.0,0.0,21000000.0,100000.0
0.45,stage1,True,0.0,0.05,-69455545.34440182,0.0,0.0,100000.0,21000000.0
0.46,stage1,True,0.0,0.05,126905245.77392595,0.0,0.0,21000000.0,100000.0
0.47,stage1,True,0.0,0.05,-231874090.14760864,0.0,0.0,100000.0,21000000.0
0.48,stage1,True,0.0,0.05,423667228.5343095,0.0,0.0,21000000.0,100000.0
0.49,stage1,True,0.0,0.05,-774100807.6605636,0.0,0.0,100000.0,21000000.0
0.5,stage1,True,0.0,0.05,1414393232.0812855,0.0,0.0,21000000.0,100000.0
0.51,stage1,True,0.0,0.05,-2584299350.8201685,0.0,0.0,100000.0,21000000.0
0.52,stage1,True,0.0,0.05,4721885670.884298,0.0,0.0,21000000.0,100000.0
0.53,stage1,True,0.0,0.05,-8627562546.494158,0.0,0.0,100000.0,21000000.0
0.54,stage1,True,0.0,0.05,15763794527.191412,0.0,0.0,21000000.0,100000.0
0.55,stage1,True,0.0,0.05,-28802714156.351448,0.0,0.0,100000.0,21000000.0
0.56,stage1,True,0.0,0.05,52626690950.053,0.0,0.0,21000000.0,100000.0
0.57,stage1,True,0.0,0.05,-96156514462.79434,0.0,0.0,100000.0,21000000.0
0.58,stage1,True,0.0,0.05,175691747034.66165,0.0,0.0,21000000.0,100000.0
0.59,stage1,True,0.0,0.05,-321014027479.16016,0.0,0.0,100000.0,21000000.0
0.6,stage1,True,0.0,0.05,586538682537.9696,0.0,0.0,21000000.0,100000.0
0.61,stage1,True,0.0,0.05,-1071690320871.1232,0.0,0.0,100000.0,21000000.0
0.62,stage1,True,0.0,0.05,1958131966470.7358,0.0,0.0,21000000.0,100000.0
0.63,stage1,True,0.0,0.05,-3577788026486.522,0.0,0.0,100000.0,21000000.0
0.64,stage1,True,0.0,0.05,6537132012375.475,0.0,0.0,21000000.0,100000.0
0.65,stage1,True,0.0,0.05,-11944278037396.479,0.0,0.0,100000.0,21000000.0
0.66,stage1,True,0.0,0.05,21823909562259.844,0.0,0.0,21000000.0,100000.0
0.67,stage1,True,0.0,0.05,-39875413741248.54,0.0,0.0,100000.0,21000000.0
0.68,stage1,True,0.0,0.05,72858101638463.69,0.0,0.0,21000000.0,100000.0
0.69,stage1,True,0.0,0.05,-133122204293754.12,0.0,0.0,100000.0,21000000.0
0.7,stage1,True,0.0,0.05,243233365645001.62,0.0,0.0,21000000.0,100000.0
