time,stage_id,enable,load_force_N_profile,x_ref_m_profile,x_m,valve_cmd,spool_u,pA_Pa,pB_Pa
0.54,stage1,True,0.0,0.05,1558260363117.4033,-1.0,-0.5000000000000007,21000000.0,100000.0
0.55,stage1,True,0.0,0.05,-2847165239510.51,1.0,-0.25000000000000044,100000.0,21000000.0
0.56,stage1,True,0.0,0.05,5202179361644.452,-1.0,-0.5000000000000004,21000000.0,100000.0
0.57,stage1,True,0.0,0.05,-9505128025295.098,1.0,-0.250000000000003,100000.0,21000000.0
0.58,stage1,True,0.0,0.05,17367232557068.066,-1.0,-0.5000000000000022,21000000.0,100000.0
0.59,stage1,True,0.0,0.05,-31732425474817.465,1.0,-0.250000000000002,100000.0,21000000.0
0.6,stage1,True,0.0,0.05,57979693840459.125,-1.0,-0.5000000000000016,21000000.0,100000.0
0.61,stage1,True,0.0,0.05,-105937218713430.12,1.0,-0.25000000000000133,100000.0,21000000.0
0.62,stage1,True,0.0,0.05,193562496891037.44,-1.0,-0.5000000000000011,21000000.0,100000.0
0.63,stage1,True,0.0,0.05,-353666451297376.25,1.0,-0.2500000000000009,100000.0,21000000.0
0.64,stage1,True,0.0,0.05,646199345339562.9,-1.0,-0.5000000000000009,21000000.0,100000.0
0.65,stage1,True,0.0,0.05,-1180698911037416.5,1.0,-0.25000000000000067,100000.0,21000000.0
0.66,stage1,True,0.0,0.05,2157306299641018.5,-1.0,-0.5000000000000007,21000000.0,100000.0
0.67,stage1,True,0.0,0.05,-3941708107769516.5,1.0,-0.25000000000000044,100000.0,21000000.0
0.68,stage1,True,0.0,0.05,7202066210737596.0,-1.0,-0.5000000000000004,21000000.0,100000.0
0.69,stage1,True,0.0,0.05,-1.3159208212704868e+16,1.0,-0.250000000000003,100000.0,21000000.0
0.7,stage1,True,0.0,0.05,2.4043761292718668e+16,-1.0,-0.5000000000000022,21000000.0,100000.0
0.71,stage1,True,0.0,0.05,-4.393140132421357e+16,1.0,-0.250000000000002,100000.0,21000000.0
0.72,stage1,True,0.0,0.05,8.026897284550846e+16,-1.0,-0.5000000000000016,21000000.0,100000.0
0.73,stage1,True,0.0,0.05,-1.466629291909643e+17,1.0,-0.25000000000000133,100000.0,21000000.0
0.74,stage1,True,0.0,0.05,2.679742126546649e+17,-1.0,-0.5000000000000011,21000000.0,100000.0
0.75,stage1,True,0.0,0.05,-4.8962733148733344e+17,1.0,-0.2500000000000009,100000.0,21000000.0
0.76,stage1,True,0.0,0.05,8.946193790980575e+17,-1.0,-0.5000000000000009,21000000.0,100000.0
0.77,stage1,True,0.0,0.05,-1.6345979523377528e+18,1.0,-0.25000000000000067,100000.0,21000000.0
0.78,stage1,True,0.0,0.05,2.9866449668020347e+18,-1.0,-0.5000000000000007,21000000.0,100000.0
0.79,stage1,True,0.0,0.05,-5.457028833889548e+18,1.0,-0.25000000000000044,100000.0,21000000.0
0.8,stage1,True,0.0,0.05,9.97077457311175e+18,-1.0,-0.5000000000000004,21000000.0,100000.0
0.81,stage1,True,0.0,0.05,-1.821803560399219e+19,1.0,-0.2500000000000002,100000.0,21000000.0
0.82,stage1,True,0.0,0.05,3.3286964702154727e+19,-1.0,-0.49999999999999756,21000000.0,100000.0
0.83,stage1,True,0.0,0.05,-6.082006003104728e+19,1.0,-0.24999999999999734,100000.0,21000000.0
0.84,stage1,True,0.0,0.05,1.1112697523726674e+20,-1.0,-0.49999999999999756,21000000.0,100000.0
0.85,stage1,True,0.0,0.05,-2.0304492660941396e+20,1.0,-0.24999999999999734,100000.0,21000000.0
0.86,stage1,True,0.0,0.05,3.7099221079128755e+20,-1.0,-0.49999999999999756,21000000.0,100000.0
0.87,stage1,True,0.0,0.05,-6.778559935780532e+20,1.0,-0.24999999999999734,100000.0,21000000.0
0.88,stage1,True,0.0,0.05,1.2385401489957116e+21,-1.0,-0.49999999999999756,21000000.0,100000.0
0.89,stage1,True,0.0,0.05,-2.2629905395941394e+21,1.0,-0.24999999999999734,100000.0,21000000.0
0.9,stage1,True,0.0,0.05,4.1348083761718273e+21,-1.0,-0.49999999999999756,21000000.0,100000.0
0.91,stage1,True,0.0,0.05,-7.554888104272382e+21,1.0,-0.24999999999999734,100000.0,21000000.0
0.92,stage1,True,0.0,0.05,1.3803864429848114e+22,-1.0,-0.49999999999999756,21000000.0,100000.0
0.93,stage1,True,0.0,0.05,-2.522164068715585e+22,1.0,-0.24999999999999734,100000.0,21000000.0
0.94,stage1,True,0.0,0.05,4.608355596252166e+22,-1.0,-0.4999999999999948,21000000.0,100000.0
0.95,stage1,True,0.0,0.05,-8.420126812894012e+22,1.0,-0.24999999999999456,100000.0,21000000.0
0.96,stage1,True,0.0,0.05,1.5384779682122354e+23,-1.0,-0.4999999999999948,21000000.0,100000.0
0.97,stage1,True,0.0,0.05,-2.8110199659343925e+23,1.0,-0.24999999999999456,100000.0,21000000.0
0.98,stage1,True,0.0,0.05,5.1361367612329144e+23,-1.0,-0.4999999999999948,21000000.0,100000.0
0.99,stage1,True,0.0,0.05,-9.384458719530785e+23,1.0,-0.24999999999999456,100000.0,21000000.0
1.0,stage1,True,0.0,0.05,1.7146752423593342e+24,-1.0,-0.4999999999999948,21000000.0,100000.0
1.01,stage1,True,0.0,0.05,-3.1329576639738745e+24,1.0,-0.24999999999999456,100000.0,21000000.0
1.02,stage1,True,0.0,0.05,5.724363122399174e+24,-1.0,-0.4999999999999948,21000000.0,100000.0
