time,stage_id,ambient_temp_C,driver_power_request_W_profile,soc,T_core_C,voltage_V,current_A,pump_cmd,fan_cmd,mode,coolant_in_temp_C,coolant_flow_kgps,T_surface_C
625.5,stage1,35.0,25000,0.8,30.07514625821585,381.184,0.0,0.0,0.0,0,35.0,3.802224658958607e-189,31.95112783734161
625.6,stage1,35.0,25000,0.8,30.075166828189303,381.184,0.0,0.0,0.0,0,35.0,3.5487430150279754e-189,31.951323289320598
625.7,stage1,35.0,25000,0.8,30.075187400080324,381.184,0.0,0.0,0.0,0,35.0,3.31216014735939e-189,31.951518715105795
625.8,stage1,35.0,25000,0.8,30.075207973888602,381.184,0.0,0.0,0.0,0,35.0,3.0913494708689646e-189,31.951714114700923
625.9,stage1,35.0,25000,0.8,30.07522854961383,381.184,0.0,0.0,0.0,0,35.0,2.88525950614432e-189,31.95190948810971
626.0,stage1,35.0,25000,0.8,30.0752491272557,381.184,0.0,0.0,0.0,0,35.0,2.6929088724013217e-189,31.95210483533588
626.1,stage1,35.0,25000,0.8,30.075269706813902,381.184,0.0,0.0,0.0,0,35.0,2.5133816142411927e-189,31.95230015638316
626.2,stage1,35.0,25000,0.8,30.07529028828813,381.184,0.0,0.0,0.0,0,35.0,2.3458228399584083e-189,31.952495451255274
626.3,stage1,35.0,25000,0.8,30.075310871678074,381.184,0.0,0.0,0.0,0,35.0,2.18943465062799e-189,31.952690719955946
626.4,stage1,35.0,25000,0.8,30.075331456983427,381.184,0.0,0.0,0.0,0,35.0,2.043472340586091e-189,31.9528859624889
626.5,stage1,35.0,25000,0.8,30.075352044203882,381.184,0.0,0.0,0.0,0,35.0,1.907240851213654e-189,31.953081178857857
626.6,stage1,35.0,25000,0.8,30.075372633339132,381.184,0.0,0.0,0.0,0,35.0,1.7800914611327147e-189,31.953276369066543
626.7,stage1,35.0,25000,0.8,30.075393224388865,381.184,0.0,0.0,0.0,0,35.0,1.6614186970571734e-189,31.95347153311868
626.8,stage1,35.0,25000,0.8,30.075413817352775,381.184,0.0,0.0,0.0,0,35.0,1.550657450586796e-189,31.953666671017988
626.9,stage1,35.0,25000,0.8,30.075434412230557,381.184,0.0,0.0,0.0,0,35.0,1.4472802872143193e-189,31.953861782768186
627.0,stage1,35.0,25000,0.8,30.0754550090219,381.184,0.0,0.0,0.0,0,35.0,1.3507949347333427e-189,31.954056868372998
627.1,stage1,35.0,25000,0.8,30.0754756077265,381.184,0.0,0.0,0.0,0,35.0,1.2607419390844326e-189,31.954251927836143
627.2,stage1,35.0,25000,0.8,30.075496208344045,381.184,0.0,0.0,0.0,0,35.0,1.1766924764787846e-189,31.954446961161338
