"time","soc","T_core_C","voltage_V","current_A","pump_cmd","fan_cmd","mode","coolant_in_temp_C","coolant_flow_kgps","T_surface_C"
202.0,0.7576056119912957,31.677539909854044,376.3626817778304,47.82606778719207,0.0,0.0,0.0,35.0,0.0,30.883833322674416
203.0,0.7573841914336177,31.686272462428125,376.35162590412534,47.827472708372056,0.0,0.0,0.0,35.0,0.0,30.88801125274552
204.0,0.7571627643705823,31.695004963087005,376.3405673030529,47.828878058701854,0.0,0.0,0.0,35.0,0.0,30.892187424073065
205.0,0.7569413308002022,31.70373741177157,376.32950597367994,47.830283838368445,0.0,0.0,0.0,35.0,0.0,30.89636183907419
206.0,0.7567198907204895,31.712469808423023,376.31844191507196,47.83169004755898,0.0,0.0,0.0,35.0,0.0,30.90053450016265
207.0,0.7564984441294547,31.72120215298289,376.3073751262942,47.8330966864608,0.0,0.0,0.0,35.0,0.0,30.904705409748836
208.0,0.7562769910251084,31.729934445392985,376.2963056064108,47.83450375526135,0.0,0.0,0.0,35.0,0.0,30.908874570239742
209.0,0.7560555314054594,31.73866668559546,376.2852333544851,47.83591125414831,0.0,0.0,0.0,35.0,0.0,30.913041984039022
210.0,0.7558340652685165,31.747398873532763,376.27415836957977,47.83731918330942,0.0,0.0,0.0,35.0,0.0,30.917207653546946
211.0,0.7556125926122872,31.756131009147648,376.2630806507564,47.838727542932666,0.0,0.0,0.0,35.0,0.0,30.92137158116044
212.0,0.7553911134347777,31.76486309238318,376.25200019707603,47.840136333206175,0.0,0.0,0.0,35.0,0.0,30.92553376927306
213.0,0.755169627733994,31.77359512318274,376.2409170075985,47.84154555431818,0.0,0.0,0.0,35.0,0.0,30.92969422027503
214.0,0.754948135507941,31.782327101490026,376.22983108138334,47.84295520645717,0.0,0.0,0.0,35.0,0.0,30.93385293655323
215.0,0.7547266367546228,31.791059027249016,376.21874241748884,47.8443652898117,0.0,0.0,0.0,35.0,0.0,30.93800992049119
216.0,0.7545051314720426,31.799790900404012,376.20765101497256,47.845775804570515,0.0,0.0,0.0,35.0,0.0,30.942165174469107
217.0,0.7542836196582025,31.808522720899635,376.19655687289134,47.847186750922546,0.0,0.0,0.0,35.0,0.0,30.94631870086385
218.0,0.7540621013111041,31.817254488680803,376.18545999030124,47.848598129056896,0.0,0.0,0.0,35.0,0.0,30.950470502048972
219.0,0.7538405764287478,31.82598620369274,376.17436036625713,47.850009939162746,0.0,0.0,0.0,35.0,0.0,30.954620580394703
220.0,0.7536190450091333,31.834717865880975,376.1632579998135,47.85142218142953,0.0,0.0,0.0,35.0,0.0,30.958768938267944
221.0,0.7533975070502593,31.84344947519135,376.15215289002373,47.85283485604678,0.0,0.0,0.0,35.0,0.0,30.962915578032298
222.0,0.7531759625501235,31.85218103157,376.1410450359405,47.85424796320425,0.0,0.0,0.0,35.0,0.0,30.967060502048064
223.0,0.7529544115067236,31.860912534963383,376.12993443661566,47.85566150309176,0.0,0.0,0.0,35.0,0.0,30.971203712672242
224.0,0.7527328539180549,31.86964398531826,376.1188210911001,47.8570754758994,0.0,0.0,0.0,35.0,0.0,30.975345212258514
225.0,0.7525112897821132,31.878375382581687,376.10770499844404,47.85848988181736,0.0,0.0,0.0,35.0,0.0,30.979485003157293
226.0,0.7522897190968928,31.887106726701028,376.0965861576968,47.85990472103599,0.0,0.0,0.0,35.0,0.0,30.983623087715703
227.0,0.7520681418603872,31.895838017623944,376.0854645679069,47.861319993745816,0.0,0.0,0.0,35.0,0.0,30.98775946827758
228.0,0.7518465580705886,31.904569255298412,376.0743402281221,47.86273570013752,0.0,0.0,0.0,35.0,0.0,30.99189414718348
229.0,0.7516249677254891,31.91330043967272,376.0632131373889,47.86415184040195,0.0,0.0,0.0,35.0,0.0,30.996027126770688
230.0,0.7514033708230796,31.92203157069544,376.05208329475374,47.86556841473013,0.0,0.0,0.0,35.0,0.0,31.00015840937323
231.0,0.7511817673613498,31.930762648315458,376.0409506992616,47.86698542331319,0.0,0.0,0.0,35.0,0.0,31.00428799732186
232.0,0.7509601573382889,31.939493672481955,376.02981534995683,47.86840286634249,0.0,0.0,0.0,35.0,0.0,31.008415892944075
233.0,0.7507385407518852,31.948224643144417,376.0186772458828,47.86982074400952,0.0,0.0,0.0,35.0,0.0,31.01254209856412
234.0,0.7505169176001257,31.956955560252645,376.0075363860827,47.87123905650592,0.0,0.0,0.0,35.0,0.0,31.016666616502985
235.0,0.7502952878809973,31.965686423756722,375.9963927695978,47.87265780402353,0.0,0.0,0.0,35.0,0.0,31.020789449078414
236.0,0.7500736515924854,31.97441723360704,375.98524639546935,47.87407698675431,0.0,0.0,0.0,35.0,0.0,31.024910598604922
237.0,0.7498520087325744,31.983147989754286,375.9740972627377,47.875496604890415,0.0,0.0,0.0,35.0,0.0,31.029030067393776
