time,stage_id,valve,level,leak,asset_dtaas_water_tank_swap__x4.valve
24.8,stage1,1,1.2033528014898025,False,False
24.9,stage1,1,1.1738257963210903,False,False
25.0,stage1,1,1.1473480326483358,False,False
25.1,stage1,1,1.1236046165753404,False,False
25.2,stage1,1,1.102313173167093,False,False
25.3,stage1,1,1.0832204882302283,False,False
25.4,stage1,1,1.0660994968954096,False,False
25.5,stage1,1,1.050746583187555,False,False
25.6,stage1,1,1.0369791584683183,False,False
25.7,stage1,1,1.0246334899518021,False,False
25.8,stage1,1,1.0135627534685487,False,False
25.9,stage1,1,1.0036352873197796,False,False
26.0,stage1,1,0.9947330264553789,False,False
26.1,stage1,0,1.092925928123987,False,False
26.2,stage1,0,1.1929259281239892,False,False
26.3,stage1,0,1.2929259281239915,False,False
26.4,stage1,0,1.3929259281239939,False,False
26.5,stage1,0,1.4929259281239962,False,False
26.6,stage1,0,1.5929259281239985,False,False
26.7,stage1,0,1.6929259281240008,False,False
26.8,stage1,0,1.792925928124003,False,False
26.9,stage1,0,1.8929259281240054,False,False
27.0,stage1,0,1.9929259281240077,False,False
27.1,stage1,0,2.092925928124006,False,False
27.2,stage1,1,1.9749425796527422,False,False
27.3,stage1,1,1.8657338202394664,False,False
27.4,stage1,1,1.7678030038150683,False,False
27.5,stage1,1,1.6799854619157393,False,False
27.6,stage1,1,1.6012368009036655,False,False
27.7,stage1,1,1.5306204812359674,False,False
27.8,stage1,1,1.4672966794173448,False,False
27.9,stage1,1,1.4105123001742212,False,False
28.0,stage1,1,1.3595920200674978,False,False
28.1,stage1,1,1.3139302560276773,False,False
28.2,stage1,1,1.272983963296014,False,False
28.3,stage1,1,1.2362661771192696,False,False
28.4,stage1,1,1.2033402213909603,False,False
28.5,stage1,1,1.1738145153638029,False,False
28.6,stage1,1,1.1473379166707978,False,False
28.7,stage1,1,1.1235955452705784,False,False
28.8,stage1,1,1.1023050386521858,False,False
28.9,stage1,1,1.0832131937632792,False,False
29.0,stage1,1,1.066092955725016,False,False
29.1,stage1,1,1.0507407175210968,False,False
29.2,stage1,1,1.0369738985467856,False,False
29.3,stage1,1,1.02462877322017,False,False
29.4,stage1,1,1.0135585238318223,False,False
29.5,stage1,1,1.0036314944758717,False,False
29.6,stage1,1,0.9947296252968783,False,False
29.7,stage1,0,1.0929225331442578,False,False
29.8,stage1,0,1.19292253314426,False,False
29.9,stage1,0,1.2929225331442624,False,False
30.0,stage1,0,1.3929225331442647,False,False
30.1,stage1,0,1.492922533144267,False,False
30.2,stage1,0,1.5929225331442693,False,False
30.3,stage1,0,1.6929225331442717,False,False
30.4,stage1,0,1.792922533144274,False,False
30.5,stage1,0,1.8929225331442763,False,False
30.6,stage1,0,1.9929225331442786,False,False
30.7,stage1,0,2.0929225331442765,False,False
30.8,stage1,1,1.9749395297405272,False,False
30.9,stage1,1,1.8657310852904139,False,False
31.0,stage1,1,1.767800551303063,False,False
31.1,stage1,1,1.6799832626736244,False,False
31.2,stage1,1,1.6012348287763654,False,False
31.3,stage1,1,1.5306187127694313,False,False
31.4,stage1,1,1.4672950935796094,False,False
31.5,stage1,1,1.4105108781052864,False,False
31.6,stage1,1,1.3595907448550284,False,False
31.7,stage1,1,1.3139291125058674,False,False
31.8,stage1,1,1.2729829378652233,False,False
31.9,stage1,1,1.2362652575842883,False,False
32.0,stage1,1,1.203339396815972,False,False
32.1,stage1,1,1.1738137759423295,False,False
32.2,stage1,1,1.1473372536090714,False,False
32.3,stage1,1,1.12359495068296,False,False
32.4,stage1,1,1.102304505467383,False,False
32.5,stage1,1,1.0832127156402487,False,False
32.6,stage1,1,1.0660925269775523,False,False
32.7,stage1,1,1.050740333050205,False,False
32.8,stage1,1,1.0369735537800417,False,False
32.9,stage1,1,1.0246284640573438,False,False
33.0,stage1,1,1.0135582465961128,False,False
33.1,stage1,1,1.003631245870178,False,False
33.2,stage1,1,0.9947294023645901,False,False
33.3,stage1,0,1.0929223106169632,False,False
33.4,stage1,0,1.1929223106169655,False,False
33.5,stage1,0,1.2929223106169678,False,False
33.6,stage1,0,1.3929223106169701,False,False
33.7,stage1,0,1.4929223106169724,False,False
33.8,stage1,0,1.5929223106169748,False,False
33.9,stage1,0,1.692922310616977,False,False
34.0,stage1,0,1.7929223106169794,False,False
34.1,stage1,0,1.8929223106169817,False,False
34.2,stage1,0,1.992922310616984,False,False
34.3,stage1,0,2.092922310616982,False,False
34.4,stage1,1,1.974939329831022,False,False
34.5,stage1,1,1.8657309060254785,False,False
34.6,stage1,1,1.767800390550742,False,False
34.7,stage1,1,1.6799831185221283,False,False
34.8,stage1,1,1.6012346995113342,False,False
34.9,stage1,1,1.530618596853545,False,False
35.0,stage1,1,1.4672949896343082,False,False
35.1,stage1,1,1.410510784894373,False,False
35.2,stage1,1,1.3595906612699664,False,False
35.3,stage1,1,1.3139290375526005,False,False
35.4,stage1,1,1.2729828706523498,False,False
35.5,stage1,1,1.2362651973124605,False,False
35.6,stage1,1,1.2033393427683916,False,False
35.7,stage1,1,1.1738137274762206,False,False
35.8,stage1,1,1.147337210148037,False,False
35.9,stage1,1,1.123594911710129,False,False
36.0,stage1,1,1.1023044705192595,False,False
36.1,stage1,1,1.0832126843012033,False,False
36.2,stage1,1,1.0660924988748763,False,False
36.3,stage1,1,1.050740307849681,False,False
36.4,stage1,1,1.0369735311819663,False,False
36.5,stage1,1,1.0246284437929627,False,False
36.6,stage1,1,1.0135582284244256,False,False
36.7,stage1,1,1.0036312295750733,False,False
36.8,stage1,1,0.9947293877522739,False,False
36.9,stage1,0,1.0929222960311928,False,False
37.0,stage1,0,1.1929222960311952,False,False
37.1,stage1,0,1.2929222960311975,False,False
37.2,stage1,0,1.3929222960311998,False,False
37.3,stage1,0,1.492922296031202,False,False
37.4,stage1,0,1.5929222960312044,False,False
37.5,stage1,0,1.6929222960312067,False,False
37.6,stage1,0,1.792922296031209,False,False
37.7,stage1,0,1.8929222960312113,False,False
37.8,stage1,0,1.9929222960312136,False,False
37.9,stage1,0,2.0929222960312117,False,False
38.0,stage1,1,1.9749393167277574,False,False
38.1,stage1,1,1.8657308942753834,False,False
38.2,stage1,1,1.767800380014074,False,False
38.3,stage1,1,1.679983109073577,False,False
38.4,stage1,1,1.6012346910385313,False,False
38.5,stage1,1,1.530618589255725,False,False
38.6,stage1,1,1.4672949828211115,False,False
38.7,stage1,1,1.4105107787847717,False,False
38.8,stage1,1,1.3595906557913013,False,False
38.9,stage1,1,1.3139290326397148,False,False
39.0,stage1,1,1.2729828662468152,False,False
39.1,stage1,1,1.2362651933618831,False,False
39.2,stage1,1,1.2033393392257892,False,False
39.3,stage1,1,1.1738137242994617,False,False
39.4,stage1,1,1.1473372072993406,False,False
39.5,stage1,1,1.1235949091556159,False,False
39.6,stage1,1,1.1023044682285499,False,False
39.7,stage1,1,1.083212682247054,False,False
39.8,stage1,1,1.066092497032859,False,False
39.9,stage1,1,1.0507403061978873,False,False
40.0,stage1,1,1.0369735297007527,False,False
40.1,stage1,1,1.0246284424647132,False,False
40.2,stage1,1,1.0135582272333437,False,False
40.3,stage1,1,1.0036312285069937,False,False
40.4,stage1,1,0.9947293867944943,False,False
40.5,stage1,0,1.0929222950751531,False,False
40.6,stage1,0,1.1929222950751555,False,False
40.7,stage1,0,1.2929222950751578,False,False
40.8,stage1,0,1.39292229507516,False,False
40.9,stage1,0,1.4929222950751624,False,False
41.0,stage1,0,1.5929222950751647,False,False
41.1,stage1,0,1.692922295075167,False,False
41.2,stage1,0,1.7929222950751693,False,False
41.3,stage1,0,1.8929222950751716,False,False
41.4,stage1,0,1.992922295075174,False,False
41.5,stage1,0,2.092922295075172,False,False
41.6,stage1,1,1.9749393158688906,False,False
41.7,stage1,1,1.8657308935052106,False,False
41.8,stage1,1,1.767800379323437,False,False
41.9,stage1,1,1.679983108454262,False,False
42.0,stage1,1,1.6012346904831722,False,False
42.1,stage1,1,1.5306185887577182,False,False
42.2,stage1,1,1.4672949823745345,False,False
42.3,stage1,1,1.4105107783843134,False,False
42.4,stage1,1,1.3595906554321981,False,False
42.5,stage1,1,1.3139290323176958,False,False
42.6,stage1,1,1.272982865958051,False,False
42.7,stage1,1,1.2362651931029398,False,False
42.8,stage1,1,1.2033393389935862,False,False
42.9,stage1,1,1.1738137240912379,False,False
43.0,stage1,1,1.147337207112619,False,False
43.1,stage1,1,1.1213599272590329,False,False
43.2,stage1,1,1.1003002919793001,False,False
43.3,stage1,1,1.081415476442301,False,False
43.4,stage1,1,1.064480887921211,False,False
43.5,stage1,1,1.0492951272863371,False,False
43.6,stage1,1,1.0356775938120224,False,False
43.7,stage1,1,1.0234663373341455,False,False
43.8,stage1,1,1.0125161322144194,False,False
43.9,stage1,1,1.0026967502055897,False,False
44.0,stage1,1,0.9938914116771225,False,False
44.1,stage1,0,1.0920858422792445,False,False
44.2,stage1,0,1.1920858422792469,False,False
44.3,stage1,0,1.2920858422792492,False,False
44.4,stage1,0,1.3920858422792515,False,False
44.5,stage1,0,1.4920858422792538,False,False
44.6,stage1,0,1.592085842279256,False,False
44.7,stage1,0,1.6920858422792584,False,False
44.8,stage1,0,1.7920858422792607,False,False
44.9,stage1,0,1.892085842279263,False,False
45.0,stage1,0,1.9920858422792653,False,False
45.1,stage1,0,2.092085842279263,False,False
45.2,stage1,1,1.974187880572129,False,False
45.3,stage1,1,1.8650570586178137,False,False
45.4,stage1,1,1.7671961310835287,False,False
45.5,stage1,1,1.6794412606778095,False,False
45.6,stage1,1,1.6007487991003673,False,False
45.7,stage1,1,1.5301828751751507,False,False
45.8,stage1,1,1.4669042647517232,False,False
45.9,stage1,1,1.4101604100072807,False,False
46.0,stage1,1,1.3592764694511796,False,False
46.1,stage1,1,1.3136472921917615,False,False
46.2,stage1,1,1.2727302210172922,False,False
46.3,stage1,1,1.2360386386997309,False,False
46.4,stage1,1,1.2031361807690082,False,False
46.5,stage1,1,1.1736315459316915,False,False
46.6,stage1,1,1.1471738424155489,False,False
46.7,stage1,1,1.1234484148951664,False,False
46.8,stage1,1,1.1021731023692143,False,False
46.9,stage1,1,1.0830948824851656,False,False
47.0,stage1,1,1.0659868624031974,False,False
47.1,stage1,1,1.0506455804123278,False,False
47.2,stage1,1,1.036888586207519,False,False
47.3,stage1,1,1.0245522710505615,False,False
47.4,stage1,1,1.0134899220093283,False,False
47.5,stage1,1,1.003569977134945,False,False
47.6,stage1,1,0.9946744608260644,False,False
47.7,stage1,0,1.092867468888899,False,False
47.8,stage1,0,1.1928674688889014,False,False
47.9,stage1,0,1.2928674688889037,False,False
48.0,stage1,0,1.392867468888906,False,False
48.1,stage1,0,1.4928674688889083,False,False
48.2,stage1,0,1.5928674688889106,False,False
48.3,stage1,0,1.692867468888913,False,False
48.4,stage1,0,1.7928674688889152,False,False
48.5,stage1,0,1.8928674688889175,False,False
48.6,stage1,0,1.9928674688889199,False,False
48.7,stage1,0,2.092867468888918,False,False
48.8,stage1,1,1.9748900622448495,False,False
48.9,stage1,1,1.8656867262823602,False,False
49.0,stage1,1,1.7677607732312508,False,False
49.1,stage1,1,1.67994759246668,False,False
49.2,stage1,1,1.6012028422167994,False,False
49.3,stage1,1,1.530590029448516,False,False
49.4,stage1,1,1.4672693723732697,False,False
49.5,stage1,1,1.4104878131171867,False,False
49.6,stage1,1,1.3595700617786197,False,False
