time,outputs[1],outputs[2],outputs[3],outputs[4]
0.34,7.122848208658653,3.298046699224118,0.0,0.0
0.35000000000000003,6.934881642296494,3.3888280181468664,0.0,0.0
0.36,6.747148003674145,3.479075215260367,0.0,0.0
0.37,6.568714259219276,3.568774023475672,0.0,0.0
0.38,6.408625646028836,3.6579102695058263,0.0,0.0
0.39,6.273776670162186,3.7464698928503433,0.0,0.0
0.4,6.168230317052845,3.8344389179727836,0.0,0.0
0.40000000020000004,6.168230315263542,3.834438919726165,0.0,0.0
0.40000000020000004,6.168230315263542,3.834438919726165,0.0,0.0
0.41000000000000003,6.097060010341493,3.8217903527526924,0.09999999800000006,0.0
0.42,6.054712162433034,3.8085304925035506,0.19999999799999946,0.0
0.4256528510186219,6.0414555071214995,3.800754432056452,0.2565285081862184,0.0
0.4256528510186219,6.0414555071214995,3.800754432056452,0.2565285081862184,0.0
0.43,6.038713999723176,3.7945924627957326,0.2999999979999995,0.0
0.44,6.0423251164724014,3.7800074786357007,0.39999999799999947,0.0
0.45,6.054530665489747,3.7648029247090213,0.4999999979999995,0.0
0.46,6.067017795684432,3.748934516242412,0.5999999979999994,0.0
0.47000000000000003,6.070215746720581,3.7323817544745084,0.6999999979999997,0.0
0.47740767754317515,6.061529531099115,3.7196699876527632,0.7740767734317509,0.0
0.47740767754317515,6.061529531099115,3.7196699876527632,0.7740767734317509,0.0
0.48,6.0555202402849115,3.7151106695540905,0.7999999979999993,0.0
0.49,6.0174748113121375,3.697121828551015,0.8999999979999994,0.0
0.5,5.951478906687232,3.678433105199308,0.9999999979999996,0.0
0.51,5.855744618333046,3.6590053181872424,1.0999999979999995,0.0
0.52,5.7318997294349945,3.6388266740697497,1.1999999979999993,0.0
0.53,5.585458864894568,3.617882881399885,1.2999999979999994,0.0
0.54,5.419861713670934,3.5961684739039534,1.399999998,0.0
0.55,5.24555570595071,3.573666459023871,1.4999999980000003,0.0
0.56,5.071934279335833,3.5503645476435426,1.5999999980000004,0.0
0.5700000000000001,4.907968117293722,3.5262511726243333,1.6999999980000005,0.0
0.58,4.762396438882887,3.5013141536054277,1.7999999979999994,0.0
0.59,4.642004714565794,3.4755412757273247,1.8999999979999993,0.0
0.6,4.551728852484654,3.4489205755456194,1.999999997999999,0.0
0.61,4.493211556346514,3.4214404030126144,2.099999997999999,0.0
0.6142974482290426,4.477234420618903,3.409364058567873,2.1429744802904254,0.0
0.6142974482290426,4.477234420618903,3.409364058567873,2.1429744802904254,0.0
0.62,4.466867235050719,3.3930511942093506,2.1999999979999982,0.0
0.63,4.4662928089375455,3.3638033816172914,2.299999997999998,0.0
0.64,4.483103622421531,3.3336683471230457,2.3999999979999984,0.0
0.65,4.50927898529383,3.3026310666668555,2.499999997999998,0.0
0.66,4.538149819270773,3.2706824172108737,2.5999999979999986,0.0
0.67,4.558730838163165,3.2378083178822616,2.6999999979999982,0.0
0.68,4.562260781509865,3.2039977147498186,2.799999997999998,0.0
0.6900000000000001,4.542273482183805,3.169240612424024,2.899999997999997,0.0
0.6904883465359508,4.540605928219965,3.1675188349850534,2.904883463359505,0.0
0.6904883465359508,4.540605928219965,3.1675188349850534,2.904883463359505,0.0
0.7000000000000001,4.491949993319147,3.133474277101306,2.999999997999997,0.0
