time,angle
2.898,-1.0772161118047947
2.899,-1.0744297937554814
2.9,-1.0716538899317756
2.9010000000000002,-1.06888844369312
2.902,-1.0661334981151884
2.903,-1.0633890959889178
2.904,-1.0606552798195519
2.9050000000000002,-1.0579320918256774
2.906,-1.0552195739382695
2.907,-1.0525177677997213
2.908,-1.04982671476289
2.9090000000000003,-1.047146455890132
2.91,-1.0444770319523475
2.911,-1.041818483428012
2.912,-1.0391708505022208
2.9130000000000003,-1.0365341730657245
2.914,-1.0339085005373554
2.915,-1.031293882567821
2.916,-1.0286903431161851
2.9170000000000003,-1.0260979213283008
2.918,-1.0235166560714177
2.919,-1.0209465859336282
2.92,-1.0183877492233235
2.9210000000000003,-1.015840183968646
2.922,-1.0133039279169442
2.923,-1.01077901853422
2.924,-1.008265493004586
2.9250000000000003,-1.0057633882297146
2.926,-1.0032727408282966
2.927,-1.0007935871354858
2.928,-0.9983259632023577
2.9290000000000003,-0.9958699047953581
2.93,-0.9934254473957617
2.931,-0.9909926261991171
2.932,-0.9885714761147046
2.9330000000000003,-0.9861620317649863
2.934,-0.9837643274850628
2.935,-0.98137839732212
2.936,-0.9790042750348856
2.9370000000000003,-0.9766419940930797
2.938,-0.9742916055328692
2.939,-0.9719531351563622
2.94,-0.9696266095592426
2.9410000000000003,-0.9673120614547192
2.942,-0.9650095232829079
2.943,-0.9627190272106521
2.944,-0.9604406051313514
2.945,-0.9581742886647865
2.946,-0.9559201091569435
2.947,-0.9536780976798435
2.948,-0.9514482850313619
2.949,-0.9492307017350584
2.95,-0.9470253780399996
2.951,-0.9448323439205893
2.952,-0.9426516290763876
2.953,-0.9404832629319402
2.954,-0.9383272746366027
2.955,-0.9361836930643689
2.956,-0.9340525468136912
2.957,-0.9319338642073097
2.958,-0.929827673292076
2.959,-0.9277340018387821
2.96,-0.9256528773419803
2.961,-0.9235843283869032
2.962,-0.9215284004433757
2.963,-0.9194851040072161
2.964,-0.9174544657909736
2.965,-0.9154365122452917
2.966,-0.9134312695590406
2.967,-0.9114387636594533
2.968,-0.9094590202122546
2.969,-0.907492064621797
2.97,-0.9055379220311937
2.971,-0.9035966173224544
2.972,-0.9016681751166143
2.973,-0.8997526197738706
2.974,-0.8978499753937138
2.975,-0.8959602658150659
2.976,-0.8940835146164072
2.977,-0.8922197451159143
2.978,-0.890368980371591
2.979,-0.8885312431814054
2.98,-0.886706556083419
2.981,-0.8848949413559221
2.982,-0.8830964210175668
2.983,-0.8813110168275031
2.984,-0.8795387502855079
2.985,-0.8777796488787637
2.986,-0.8760337377858325
2.987,-0.8743010301284555
2.988,-0.8725815466146591
2.989,-0.8708753077051073
2.99,-0.8691823336134606
2.991,-0.8675026443067405
2.992,-0.8658362595056868
2.993,-0.8641831986851221
2.994,-0.8625434810743121
2.995,-0.8609171256573294
2.996,-0.8593041511734111
2.997,-0.8577045761173234
2.998,-0.8561184187397206
2.999,-0.8545456970475114
3.0,-0.8529864288042139
3.001,-0.8514406315303219
3.0020000000000002,-0.8499083225036635
3.003,-0.8483895187597666
3.004,-0.8468842370922155
3.005,-0.8453924940530152
3.0060000000000002,-0.843914305952952
3.007,-0.8424496888619575
3.008,-0.8409986586094658
3.009,-0.8395612382252304
3.0100000000000002,-0.8381374393119942
3.011,-0.8367272751317616
3.012,-0.8353307607121631
3.013,-0.8339479108493404
3.0140000000000002,-0.8325787401084519
3.015,-0.831223262824179
3.016,-0.829881493101229
3.017,-0.8285534448148419
3.0180000000000002,-0.8272391316112948
3.019,-0.8259385669084097
3.02,-0.8246517638960551
3.021,-0.8233787355366537
3.0220000000000002,-0.8221194945656862
3.023,-0.8208740534921997
3.024,-0.8196424245993086
3.025,-0.8184246199447028
3.0260000000000002,-0.8172206513611519
3.027,-0.816030530457012
3.028,-0.8148542686167285
3.029,-0.8136918770013432
