time,J1_w,J2_w,J3_w,J4_w
0.52,5.736672778756514,3.6377301749577398,0.9885548957910824,0.21144510420891138
0.53,5.587480290221819,3.616744727470839,1.0093190645869852,0.2906809354130081
0.54,5.420738604649736,3.594982969865389,1.0215908070920987,0.378409192907894
0.55,5.245068048501448,3.5724325809740023,1.0274873033390857,0.4725126966609099
0.56,5.07019818018665,3.549081193761706,1.0292795896489473,0.5707204103510475
0.5700000000000001,4.905755684248561,3.524916704524003,1.029337750831477,0.6706622491685186
0.58,4.76049375949696,3.4999270067977344,1.0300737220101315,0.7699262779898599
0.59,4.64125066257474,3.474100292468238,1.033883080457088,0.8661169195429069
0.6,4.552389531814764,3.4474249455090575,1.043087232198638,0.9569127678013597
0.61,4.495442764717907,3.419889387107471,1.0598773886240247,1.0401226113759738
0.62,4.469015464078485,3.391482443343188,1.0999999999992687,1.1000000000007275
0.63,4.4685374367147555,3.3621923620877308,1.1499999999992685,1.1500000000007273
0.64,4.487327606856714,3.3320082760519845,1.199999999999271,1.2000000000007298
0.65,4.516637791040493,3.30091903690937,1.2646923842575148,1.2353076157424858
0.66,4.546864320625038,3.268913762851919,1.3443012939657422,1.2556987060342608
0.67,4.568403351928568,3.2359817167241784,1.4393188352074708,1.260681164792531
0.68,4.572524498936079,3.2021121921945364,1.539318835207472,1.2606811647925316
0.6900000000000001,4.552411722974247,3.167294779408085,1.6393188352074732,1.2606811647925324
0.7000000000000001,4.50372370935299,3.1315192707484973,1.7393188352074735,1.2606811647925322
0.71,4.424949781175848,3.0947755244240787,1.8393188352074716,1.260681164792531
0.72,4.3176189054367775,3.0570535515390853,1.9393188352074728,1.2606811647925316
0.73,4.186096968634332,3.0183435969607153,2.0393188352074736,1.260681164792532
0.74,4.037198474506945,2.9786360069818913,2.1393188352074723,1.26068116479253
0.75,3.87969238272512,2.937921153724041,2.239318835207473,1.2606811647925298
0.76,3.723202605546831,2.896189675375238,2.339318835207474,1.2606811647925302
0.77,3.5773528723225043,2.8534323707191245,2.4393188352074757,1.260681164792531
0.78,3.4508195789387797,2.8096402091255603,2.539318835207475,1.2606811647925305
0.79,3.3505445711408566,2.7648042046084536,2.639318835207475,1.2606811647925293
0.8,3.280888192939784,2.7291172987851344,2.729117298785135,1.2606811647925307
0.81,3.2433553905965087,2.7556425372075504,2.755642537207551,1.2606811647925302
0.8200000000000001,3.236459770565298,2.7816331235838474,2.781633123583848,1.26068116479253
0.8300000000000001,3.25587393265712,2.8070849636907056,2.807084963690706,1.2606811647925305
0.84,3.2946619580081973,2.83199399306827,2.8319939930682705,1.2606811647925305
0.85,3.3441583326003124,2.856356278292048,2.8563562782920484,1.2606811647925291
0.86,3.3947562001619263,2.880167972274788,2.8801679722747884,1.2606811647925296
0.87,3.4368485001393454,2.9034253148739753,2.9034253148739757,1.2606811647925302
0.88,3.461769108670403,2.9224187528225722,2.9224187528225727,1.2680929261185938
0.89,3.4626041808421313,2.933172566445874,2.9331725664458745,1.2908606420543753
0.9,3.434995578033283,2.9359580024926895,2.93595800249269,1.3284348504887495
0.91,3.377469841228303,2.9312250796439585,2.931225079643959,1.3799087584896341
0.92,3.2915198248145945,2.919591627590339,2.9195916275903393,1.4440401262891984
0.93,3.1814875559567124,2.901828280642335,2.9018282806423352,1.5192812467375503
0.9400000000000001,3.0543234249078557,2.878839779122876,2.8788397791228766,1.6038162967191143
0.9500000000000001,2.918706901297822,2.851643137209858,2.8516431372098583,1.6956051591155121
0.96,2.8089642352614645,2.808964235261483,2.8089642352614836,1.7924326577425136
0.97,2.74630706183275,2.7463070618327685,2.746307061832769,1.8919620170552838
0.98,2.6896335161521114,2.68963351615213,2.6896335161521305,1.9917912564580804
0.99,2.6420369451433157,2.6420369451433343,2.6420369451433348,2.089511158232753
1.0,2.6057732487407494,2.605773248740768,2.6057732487407685,2.182763410123491
