time,stage_id,disturbance_force_N_profile,enable,reset,x_ref_m_profile,x_m,theta_rad,x_dot_mps,force_cmd_N
0.216,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.217,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.218,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.219,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.22,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.221,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.222,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.223,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.224,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.225,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.226,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.227,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.228,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.229,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.23,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.231,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.232,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.233,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.234,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.235,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.236,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.237,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.238,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.239,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.24,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.241,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
