time,stage_id,enable,load_force_N_profile,x_ref_m_profile,x_m,valve_cmd,spool_u,pA_Pa,pB_Pa
0.34,stage1,True,0.0,0.05,91666.18994329705,1.0,0.5019268366573154,21000000.0,100000.0
0.35,stage1,True,0.0,0.05,-167486.91531541903,-1.0,0.2519268366573166,100000.0,21000000.0
0.36,stage1,True,0.0,0.05,306022.600570985,1.0,0.5012845577715446,21000000.0,100000.0
0.37,stage1,True,0.0,0.05,-559146.830212128,-1.0,0.25128455777154435,100000.0,21000000.0
0.38,stage1,True,0.0,0.05,1021641.4546454231,1.0,0.5008563718476965,21000000.0,100000.0
0.39,stage1,True,0.0,0.05,-1866685.1429901174,-1.0,0.25085637184769627,100000.0,21000000.0
0.4,stage1,True,0.0,0.05,3410701.538303411,1.0,0.500570914565131,21000000.0,100000.0
0.41,stage1,True,0.0,0.05,-6231840.66275564,-1.0,0.2505709145651322,100000.0,21000000.0
0.42,stage1,True,0.0,0.05,11386466.92071479,1.0,0.5003806097100884,21000000.0,100000.0
0.43,stage1,True,0.0,0.05,-20804708.26099608,-1.0,0.25038060971008813,100000.0,21000000.0
0.44,stage1,True,0.0,0.05,38013186.72169733,1.0,0.5002537398067257,21000000.0,100000.0
0.45,stage1,True,0.0,0.05,-69455545.34440182,-1.0,0.2502537398067255,100000.0,21000000.0
0.46,stage1,True,0.0,0.05,126905245.77392595,1.0,0.5001691598711505,21000000.0,100000.0
0.47,stage1,True,0.0,0.05,-231874090.14760864,-1.0,0.2501691598711517,100000.0,21000000.0
0.48,stage1,True,0.0,0.05,423667228.5343095,1.0,0.5001127732474346,21000000.0,100000.0
0.49,stage1,True,0.0,0.05,-774100807.6605636,-1.0,0.2501127732474344,100000.0,21000000.0
0.5,stage1,True,0.0,0.05,1414393232.0812855,1.0,0.5000751821649565,21000000.0,100000.0
0.51,stage1,True,0.0,0.05,-2584299350.8201685,-1.0,0.2500751821649563,100000.0,21000000.0
0.52,stage1,True,0.0,0.05,4721885670.884298,1.0,0.5000501214433044,21000000.0,100000.0
0.53,stage1,True,0.0,0.05,-8627562546.494158,-1.0,0.2500501214433042,100000.0,21000000.0
0.54,stage1,True,0.0,0.05,15763794527.191412,1.0,0.5000334142955364,21000000.0,100000.0
0.55,stage1,True,0.0,0.05,-28802714156.351448,-1.0,0.25003341429553616,100000.0,21000000.0
0.56,stage1,True,0.0,0.05,52626690950.053,1.0,0.5000222761970243,21000000.0,100000.0
0.57,stage1,True,0.0,0.05,-96156514462.79434,-1.0,0.2500222761970269,100000.0,21000000.0
0.58,stage1,True,0.0,0.05,175691747034.66165,1.0,0.5000148507980182,21000000.0,100000.0
0.59,stage1,True,0.0,0.05,-321014027479.16016,-1.0,0.250014850798018,100000.0,21000000.0
0.6,stage1,True,0.0,0.05,586538682537.9696,1.0,0.5000099005320122,21000000.0,100000.0
0.61,stage1,True,0.0,0.05,-1071690320871.1232,-1.0,0.250009900532012,100000.0,21000000.0
0.62,stage1,True,0.0,0.05,1958131966470.7358,1.0,0.5000066003546749,21000000.0,100000.0
0.63,stage1,True,0.0,0.05,-3577788026486.522,-1.0,0.2500066003546747,100000.0,21000000.0
0.64,stage1,True,0.0,0.05,6537132012375.475,1.0,0.5000044002364501,21000000.0,100000.0
0.65,stage1,True,0.0,0.05,-11944278037396.479,-1.0,0.2500044002364499,100000.0,21000000.0
0.66,stage1,True,0.0,0.05,21823909562259.844,1.0,0.5000029334909668,21000000.0,100000.0
0.67,stage1,True,0.0,0.05,-39875413741248.54,-1.0,0.2500029334909666,100000.0,21000000.0
0.68,stage1,True,0.0,0.05,72858101638463.69,1.0,0.5000019556606446,21000000.0,100000.0
0.69,stage1,True,0.0,0.05,-133122204293754.12,-1.0,0.2500019556606472,100000.0,21000000.0
0.7,stage1,True,0.0,0.05,243233365645001.62,1.0,0.5000013037737651,21000000.0,100000.0
0.71,stage1,True,0.0,0.05,-444422254550735.4,-1.0,0.25000130377376484,100000.0,21000000.0
0.72,stage1,True,0.0,0.05,812023218180628.9,1.0,0.5000008691825102,21000000.0,100000.0
0.73,stage1,True,0.0,0.05,-1483682916668946.0,-1.0,0.25000086918250997,100000.0,21000000.0
0.74,stage1,True,0.0,0.05,2710901545583152.5,1.0,0.5000005794550069,21000000.0,100000.0
0.75,stage1,True,0.0,0.05,-4953206043744522.0,-1.0,0.25000057945500664,100000.0,21000000.0
0.76,stage1,True,0.0,0.05,9050218054492132.0,1.0,0.500000386303338,21000000.0,100000.0
0.77,stage1,True,0.0,0.05,-1.6536046776672296e+16,-1.0,0.25000038630333776,100000.0,21000000.0
0.78,stage1,True,0.0,0.05,3.021372980782161e+16,1.0,0.5000002575355588,21000000.0,100000.0
0.79,stage1,True,0.0,0.05,-5.5204818976918344e+16,-1.0,0.25000025753555855,100000.0,21000000.0
0.8,stage1,True,0.0,0.05,1.0086712423983414e+17,1.0,0.5000001716903726,21000000.0,100000.0
0.81,stage1,True,0.0,0.05,-1.8429870690578774e+17,-1.0,0.25000017169037236,100000.0,21000000.0
0.82,stage1,True,0.0,0.05,3.3674017796306125e+17,1.0,0.5000001144602457,21000000.0,100000.0
0.83,stage1,True,0.0,0.05,-6.152726156270168e+17,-1.0,0.2500001144602455,100000.0,21000000.0
0.84,stage1,True,0.0,0.05,1.1241913389439067e+18,1.0,0.5000000763068306,21000000.0,100000.0
0.85,stage1,True,0.0,0.05,-2.0540588585574692e+18,-1.0,0.2500000763068304,100000.0,21000000.0
0.86,stage1,True,0.0,0.05,3.753060220497689e+18,1.0,0.5000000508712205,21000000.0,100000.0
0.87,stage1,True,0.0,0.05,-6.857379456289849e+18,-1.0,0.25000005087122024,100000.0,21000000.0
0.88,stage1,True,0.0,0.05,1.2529416061783925e+19,1.0,0.500000033914147,21000000.0,100000.0
0.89,stage1,True,0.0,0.05,-2.289304067974469e+19,-1.0,0.2500000339141468,100000.0,21000000.0
0.9,stage1,True,0.0,0.05,4.182886967597636e+19,1.0,0.5000000226094314,21000000.0,100000.0
0.91,stage1,True,0.0,0.05,-7.642734588410857e+19,-1.0,0.2500000226094312,100000.0,21000000.0
0.92,stage1,True,0.0,0.05,1.3964372559280313e+20,1.0,0.5000000150729543,21000000.0,100000.0
0.93,stage1,True,0.0,0.05,-2.551491206695532e+20,-1.0,0.2500000150729541,100000.0,21000000.0
0.94,stage1,True,0.0,0.05,4.661940484764503e+20,1.0,0.5000000100486335,21000000.0,100000.0
0.95,stage1,True,0.0,0.05,-8.518034091771442e+20,-1.0,0.25000001004863326,100000.0,21000000.0
0.96,stage1,True,0.0,0.05,1.5563670326916303e+21,1.0,0.5000000066990891,21000000.0,100000.0
0.97,stage1,True,0.0,0.05,-2.84370585319601e+21,-1.0,0.25000000669908884,100000.0,21000000.0
0.98,stage1,True,0.0,0.05,5.195858566546418e+21,1.0,0.5000000044660594,21000000.0,100000.0
0.99,stage1,True,0.0,0.05,-9.49357902583779e+21,-1.0,0.2500000044660592,100000.0,21000000.0
1.0,stage1,True,0.0,0.05,1.734613087818007e+22,1.0,0.500000002977373,21000000.0,100000.0
