"time","soc","temp_cell_C","v_term_V","heat_gen_W","pump_cmd","coolant_temp_C"
288.0,0.7557777777777067,29.206626511880486,217.59424108037973,141.83620786150385,3.3071750349966975e-133,27.418046216442217
289.0,0.7551111111110401,29.20550969752315,217.5476941173762,141.84697573888795,1.1531406323403114e-133,27.420550393566117
290.0,0.7544444444443735,29.204399724067923,217.50114686455217,141.85776455099204,4.020752769003473e-134,27.42304960967023
291.0,0.7537777777777069,29.203296570076773,217.45459924985695,141.86857431321292,1.4019498035238864e-134,27.425543876930377
292.0,0.7531111111110403,29.202200214173857,217.40805120128775,141.87940504088735,4.8882967059121016e-135,27.428033207496192
293.0,0.7524444444443738,29.201110635045417,217.36150264688973,141.89025674929235,1.7044436701634e-135,27.4305176134912
294.0,0.7517777777777072,29.200027811439575,217.3149535147556,141.9011294536452,5.943027601508934e-136,27.432997107012845
295.0,0.7511111111110406,29.19895172216617,217.26840373302565,141.91202316910395,2.0722055935653797e-136,27.435471700132563
296.0,0.750444444444374,29.197882346096634,217.22185322988759,141.92293791076722,7.22533413930871e-137,27.437941404895838
297.0,0.7497777777777074,29.196819662163776,217.17530193357646,141.9338736936747,2.519318236895437e-137,27.44040623332224
298.0,0.7491111111110408,29.195763649361663,217.12874977237416,141.9448305328072,8.784319529561833e-138,27.44286619740549
299.0,0.7484444444443742,29.19471428674543,217.08219667460963,141.95580844308694,3.062902830907586e-138,27.445321309113513
300.0,0.7477777777777076,29.193671553431145,217.03564256865863,141.9668074393775,1.0679681812587311e-138,27.447771580388487
301.0,0.747111111111041,29.192635428595626,216.98908738294355,141.9778275364844,3.723774795177284e-139,27.45021702314692
302.0,0.7464444444443744,29.191605891476286,216.942531045933,141.9888687491549,1.2983999868661122e-139,27.45265764927966
303.0,0.7457777777777078,29.190582921370986,216.89597348614234,141.99993109207847,4.527240820463364e-140,27.45509347065199
304.0,0.7451111111110412,29.189566497637855,216.84941463213266,142.0110145798868,1.5785512672362103e-140,27.457524499103656
305.0,0.7444444444443746,29.18855659969515,216.8028544125115,142.0221192271541,5.504067934778e-141,27.459950746448943
306.0,0.743777777777708,29.187553207021097,216.75629275593178,142.0332450483972,1.9191498217028215e-141,27.462372224476702
307.0,0.7431111111110414,29.186556299153704,216.7097295910926,142.0443920580758,6.691661661495329e-142,27.464788944950417
308.0,0.7424444444443749,29.18556585569063,216.66316484673843,142.05556027059265,2.333238149807165e-142,27.467200919608278
309.0,0.7417777777777083,29.184581856289032,216.61659845165903,142.0667497002937,8.135498384565724e-143,27.469608160163187
310.0,0.7411111111110417,29.183604280665392,216.57003033468976,142.0779603614683,2.8366728861664465e-143,27.472010678302855
311.0,0.7404444444443751,29.18263310859535,216.52346042471072,142.08919226834948,9.890866770224813e-144,27.474408485689835
312.0,0.7397777777777085,29.181668319913584,216.47688865064745,142.10044543511387,3.4487319966789126e-144,27.47680159396157
313.0,0.7391111111110419,29.180709894513623,216.43031494146976,142.1117198758822,1.2024984929249615e-144,27.47919001473046
314.0,0.7384444444443753,29.1797578123477,216.38373922619272,142.12301560471926,4.1928529873567646e-145,27.481573759583895
315.0,0.7377777777777087,29.17881205342661,216.33716143387565,142.1343326356342,1.4619574392001816e-145,27.48395284008435
316.0,0.7371111111110421,29.177872597819523,216.29058149362214,142.14567098258067,5.097530393929099e-146,27.48632726776937
317.0,0.7364444444443755,29.176939425653867,216.24399933458028,142.157030659457,1.7773989461175364e-146,27.48869705415168
318.0,0.7357777777777089,29.17601251711515,216.19741488594232,142.16841168010643,6.197406919676467e-147,27.491062210719218
319.0,0.7351111111110423,29.175091852446805,216.1508280769441,142.1798140583171,2.1609021774177367e-147,27.49342274893518
320.0,0.7344444444443757,29.174177411950062,216.10423883686568,142.19123780782257,7.534600004307098e-148,27.495778680238075
321.0,0.7337777777777091,29.173269175983766,216.05764709503063,142.20268294230164,2.6271525762792523e-148,27.498130016041777
322.0,0.7331111111110425,29.17236712496424,216.01105278080593,142.21414947537875,9.16031462201746e-149,27.50047676773559
323.0,0.732444444444376,29.17147123936512,215.96445582360218,142.22563742062417,3.194004213230268e-149,27.50281894668428
324.0,0.7317777777777094,29.170581499717223,215.91785615287316,142.237146791554,1.1136804067419577e-149,27.505156564228127
325.0,0.7311111111110428,29.169697886608375,215.8712536981156,142.2486776016305,3.883163469927194e-150,27.507489631683008
326.0,0.7304444444443762,29.168820380683293,215.82464838886955,142.26022986426227,1.353975381347517e-150,27.5098181603404
327.0,0.7297777777777096,29.167948962643386,215.77804015471744,142.27180359280422,4.721020239020549e-151,27.512142161467473
328.0,0.729111111111043,29.167083613246643,215.7314289252847,142.2833988005581,1.646117972622214e-151,27.51446164630711
