time,Output1,Output2,Output3,Output4,Output5,Output6
1.45,82.54457499008764,38.31918542316189,0.0,23.345439322422873,29.43604670816977,0.0
1.46,81.35605685212279,33.81468091865599,0.0,22.786880763862044,27.55900496424492,0.0
1.47,79.8937048250325,29.31017641414981,0.0,22.228322205301183,26.497223264517984,0.0
1.48,78.82874939611537,24.805671909643802,0.0,21.669763646740343,26.515958097927946,0.0
1.49,78.38625685326073,20.301167405137665,0.0,21.11120508817948,26.804575481020947,0.0
1.5,78.28334449173141,15.454925276002548,0.0,20.108020177264233,26.558264750357186,0.0
1.51,78.08251036817897,10.705452568506322,0.0,18.95525664058487,25.732664223838125,0.0
1.52,77.57024279068118,6.492175024181906,0.0,17.827285692042587,24.85653212790276,0.0
1.53,76.8580051982764,4.367118154691503,0.0,16.732877058269676,24.36091783680481,0.0
1.54,76.20247662418856,5.142897924534233,0.0,15.679041748151738,24.202006702332756,0.0
1.55,75.76216070017142,8.085776473038818,0.0,14.671035883751394,24.044994567313072,0.0
1.56,75.49780896241381,11.567324634852266,0.0,13.712411424327565,23.66719251395019,0.0
1.57,75.2550246719733,13.990413298536666,0.0,12.805110106698255,23.13443430479129,0.0
1.58,74.91460061665548,14.490398721945201,0.0,11.949595859691915,22.652368601484273,0.0
1.59,74.47454434216601,13.158479892590943,0.0,11.145020039702933,22.33033150594038,0.0
1.6,74.01834066903199,10.815595824454718,0.0,10.389413100158912,22.10667195575833,0.0
1.61,73.62532571527424,8.544307412623853,0.0,9.679895766754708,21.857552240550504,0.0
1.62,73.30899105076261,7.222960924767052,0.0,9.01290245395497,21.53167498660186,0.0
1.6300000000000001,73.02375339497561,7.236780513403618,0.0,8.384409532222186,21.17618674606509,0.0
1.6400000000000001,72.7161431357974,8.428196154212818,0.0,7.790161139675353,20.86203586098012,0.0
1.6500000000000001,72.36825166818502,10.248491390157252,0.0,7.225990894257948,20.609345788294362,0.0
1.6600000000000001,72.0015929294537,12.014219800071233,0.0,6.696131744616752,20.38316972342144,0.0
1.67,71.64917653043226,13.160306889277411,0.0,6.2165848317060926,20.14250361177851,0.0
1.68,71.32629481414773,13.406997519506673,0.0,5.799593269798615,19.880346943967744,0.0
1.69,71.02319184209888,12.802953638745564,0.0,5.452161212633003,19.619701416785226,0.0
1.7,70.71934389145606,11.65398599955929,0.0,5.176273171601321,19.382500350986742,0.0
1.71,70.40227932716341,10.381848309869646,0.0,4.969234660460534,19.168887841725528,0.0
1.72,70.07498566250392,9.371870850496183,0.0,4.824154579313606,18.9633029145297,0.0
1.73,69.74923478177578,8.860862647034375,0.0,4.730580743243361,18.753607863215517,0.0
1.74,69.43388950935567,8.893610677751342,0.0,4.67528037568668,18.54132102907036,0.0
1.75,69.12869681472439,9.34789420777953,0.0,4.643133454766408,18.335969443257454,0.0
1.76,68.82691339125327,10.005064320701887,0.0,4.618085271544637,18.143630480568675,0.0
1.77,68.52229409803509,10.633049181859123,0.0,4.584091157662622,17.962181772931014,0.0
1.78,68.21378821042548,11.052286259242205,0.0,4.525984802955349,17.78569549758353,0.0
1.79,67.90489994619146,11.168174301496983,0.0,4.430212940536658,17.611064588037344,0.0
1.8,67.59967114473903,10.969093264778929,0.0,4.2854017318890945,17.439926244269344,0.0
1.81,67.29934791057465,10.500559452899893,0.0,4.082750061281621,17.275474786517876,0.0
1.82,67.00214741975314,9.83056197837637,0.0,3.8162770237676242,17.118708474672292,0.0
1.83,66.70545831590617,9.019102195004379,0.0,3.4829799187856336,16.967833462030676,0.0
1.84,66.4080892559412,8.099324739604798,0.0,3.082980614492776,16.820457928140893,0.0
1.85,66.11079533070887,7.071719961904,0.0,2.619749140019595,16.67568772968047,0.0
1.86,65.8151417619647,5.90898188428959,0.0,2.1004921512095995,16.534189216748654,0.0
1.87,65.52204707169142,4.567942818080334,0.0,1.536779837634427,16.39677412760192,0.0
1.8800000000000001,65.2312314305572,3.00603930068914,0.0,0.9454576504547842,16.263280899412056,0.0
1.8900000000000001,64.94175319232875,1.2018795338686041,0.0,0.3498483500554783,16.132706707003756,0.0
1.9000000000000001,64.65291673069734,-0.8184696202756416,0.0,-0.21880588223944783,16.004073108633214,0.0
1.9100000000000001,64.36474044593992,-2.9468497478049445,0.0,-0.7197837411726613,15.876966101550975,0.0
1.92,64.07773944902438,-4.948360419561136,0.0,-1.1014197976591542,15.751313171608903,0.0
1.93,63.79238028547592,-6.4090351830676475,0.0,-1.3000526843006577,15.626809030028811,0.0
1.94,63.5087231984635,-6.686573837528193,0.0,-1.2398214931186706,15.502608814242608,0.0
1.95,63.226480050248334,-4.88860652797806,0.0,-0.8338584920244565,15.37747124672412,0.0
1.96,62.945328919910075,0.07877604644968186,0.0,0.012488650457071157,15.250059122050788,0.0
1.97,62.66516918807978,9.332030390158266,0.0,1.3957515605542399,15.119052158352247,0.0
1.98,62.386134281123866,23.636932841889816,0.0,3.4051915881100463,14.98302277218921,0.0
1.99,62.10841816634166,42.81007278799009,0.0,6.110103547146036,14.840288805148143,0.0
2.0,61.85874732163299,64.9596114552399,0.1421201039905121,9.543743488404287,14.688954468481528,0.0
2.0100000000000002,65.45196448437949,87.62043411144117,8.790370713099925,13.684762078016917,14.527166265688384,0.0
2.02,78.68003384074612,109.78103968914442,26.326299153166243,18.431771155248825,14.891023006482111,1.0022072491221061
2.0300000000000002,98.54829363570867,128.16750874064783,45.2122712813813,23.542353967826667,17.899824740205588,4.085211253831249
2.04,117.68548983985795,140.01586642653731,60.054910372817574,28.647782188145143,22.45607007337518,7.745315060644096
2.05,131.47622465121722,143.80539334199202,68.48360283541265,33.44940645078602,26.02826440236872,11.718701408971965
2.06,139.87140015529616,139.61899689278346,69.17806169138957,38.06116177998614,28.724806411058896,16.61346801591422
2.07,144.13802697157573,129.6326371969309,60.975484242124814,42.29815906581769,32.286958602248,22.188671082661084
2.08,144.14711824920835,118.22476045995873,44.516704209787946,45.96934159214648,36.73992819002263,27.39826912373463
2.09,139.42505090970033,110.65114539529448,23.99818294186504,48.93966605514866,40.5751870023719,31.748388192279425
2.1,131.62742432286112,110.38455829707637,6.100978715168775,51.10738346414794,43.234870545580215,35.46997720028069
2.11,125.85578703332351,116.2860317086181,0.0,52.388898946074136,45.4678340737077,38.5903367547348
2.12,125.1970090313832,122.20918900373131,0.0,52.75384414856876,47.626680041149314,40.65080384359103
2.13,123.0820630107638,127.13367161022343,0.7116765545428642,52.2531590330141,49.10531778934992,41.338279110151326
2.14,118.96771547641193,128.95926981780917,5.507431654017702,50.994245015863335,49.46607922013121,40.81718925059854
2.15,115.89323029620232,124.53615286660691,11.76962687555433,49.10568395748674,49.05457196263734,39.33971431914343
2.16,114.08012063751819,114.19921105693957,14.253599484131584,46.73683367016415,48.29938372404682,36.93138902626932
2.17,110.837381458999,100.66295490206781,10.319469666697351,43.27436355038215,47.08774021256817,33.481222650929254
2.18,104.09551289297026,90.68865164828337,1.5417138726943824,39.232794363868265,44.66194742076971,28.737152440708037
2.19,99.13514719575772,86.06360433651872,0.0,35.746769314048755,41.43525049453637,23.690342091823673
2.2,99.21331587053679,81.55909983192889,0.0,32.81672393672549,38.739489428823575,18.781923940214597
2.21,100.30333700987208,77.05459532733963,0.0,30.433290250558557,36.70492867752036,13.889445791374701
2.22,99.15408716861847,72.55009082274997,0.0,28.589785701780922,34.55980427491754,9.187879074381568
2.23,95.4659366475338,68.04558631816016,0.0,27.237409143599542,32.197631556321376,5.171245621306238
2.24,91.26422022838601,63.541081813570955,0.0,26.28357076174824,30.236336298278818,2.0440322560343254
2.25,88.63676818544712,59.0365773089815,0.0,25.633980585003485,29.015089836983137,0.0
2.2600000000000002,88.04905891090984,54.53207280439237,0.0,25.07542202644086,29.88684929343903,0.0
2.27,88.39400768698202,50.02756829980314,0.0,24.51686346787825,30.99961142580989,0.0
2.2800000000000002,88.26191961508404,45.523063795213474,0.0,23.958304909315572,30.481050751320517,0.0
2.29,87.10377453176679,41.018559290623685,0.0,23.39974635075287,28.698876775543685,0.0
2.3000000000000003,85.40744297614172,36.5140547860339,0.0,22.84118779219017,27.175076051875745,0.0
2.31,84.01855242182972,32.00955028144479,0.0,22.28262923362757,26.772795546912306,0.0
2.32,83.37008015881916,27.505045776855457,0.0,21.72407067506493,27.064891751922485,0.0
2.33,83.24710769975742,22.76000682267497,0.0,20.944167986075882,27.116379242856706,0.0
2.34,83.12379420240174,17.7471576726529,0.0,19.772606344777234,26.51489018958947,0.0
2.35,82.65248175795485,12.995957035921357,0.0,18.621840349714425,25.60118208084729,0.0
2.36,81.88095546521723,8.58059851302753,0.0,17.50146769202883,24.92133814185297,0.0
2.37,81.10228374243744,5.625033726544849,0.0,16.419321830126535,24.650134835893414,0.0
2.38,80.55489092498122,5.365608639890775,0.0,15.381454571908188,24.5377018035698,0.0
2.39,80.24803362239648,7.584634137437051,0.0,14.392167175847728,24.27264236761548,0.0
2.4,80.01460092880093,10.963004622719266,0.0,13.454086778550518,23.794236714376503,0.0
2.41,79.68771753053433,13.89173319532291,0.0,12.56828382525701,23.274534351236504,0.0
2.42,79.22922779161271,15.22580830139608,0.0,11.734425193246194,22.886186148858183,0.0
2.43,78.72278023831394,14.669759058934767,0.0,10.950956880051718,22.639150684352444,0.0
2.44,78.27389891177553,12.730107146378145,0.0,10.21530949787402,22.419597510901315,0.0
2.45,77.92051407457376,10.36387932119161,0.0,9.524119386290929,22.13370825001237,0.0
2.46,77.62095316352,8.533211821011113,0.0,8.87345793553979,21.789389645047077,0.0
2.47,77.30755550697619,7.8526097758805395,0.0,8.259061704722185,21.45754348977392,0.0
2.48,76.94604641629707,8.43247439653706,0.0,7.676556120018218,21.185602431169087,0.0
