time,stage_id,disturbance_force_N_profile,enable,reset,x_ref_m_profile,x_m,theta_rad,x_dot_mps,theta_dot_rps,theta_meas_rad,theta_dot_meas_rps,force_cmd_N
5.558,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0017045692279097444,0.035420236345770406,0.0
5.559,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0030747275332757454,0.04611590029065835,0.0
5.56,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0015688358231554307,0.0529382402132926,0.0
5.561,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0008553335650307144,0.049792052512835486,0.0
5.562,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.004090492634250824,0.05418257087521151,0.0
5.563,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0010630106105701542,0.06259295050831183,0.0
5.564,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0047176900596229395,0.06022291001059162,0.0
5.565,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.00017328806607645609,-0.02412652870686853,0.0
5.566,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0005259563501019938,0.0286628444643051,0.0
5.567,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.00029065483242497335,0.03272964538705268,0.0
5.568,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.002252394347956706,0.08258916571508684,0.0
5.569,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0009723347070803816,0.025148851668314865,0.0
5.57,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.001256815986683699,0.08317248838300374,0.0
5.571,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.00927743095474257,0.051160878607099176,0.0
5.572,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0032665220318140054,0.06488200066294067,0.0
5.573,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0008519474861131566,0.07184211667620836,0.0
5.574,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.002354552321648563,0.05458002660575981,0.0
5.575,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.00460093193726819,0.09009559058311431,0.0
5.576,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.005116986086711334,0.031941338083190066,0.0
5.577,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0010020274834193295,0.06185515578650239,0.0
5.578,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0036075637759230114,0.03784949036556118,0.0
5.579,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0014315319656355537,0.021472441589895197,0.0
5.58,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.004554806263473789,0.06850588894931793,0.0
5.581,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0007095355232999968,0.050646442404747166,0.0
5.582,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0017580880818789404,0.05297317468372318,0.0
5.583,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0023053002285275386,0.07081924181081126,0.0
5.584,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.007003293786921859,0.0367709044470549,0.0
5.585,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0026179129991599614,0.05862748243901096,0.0
5.586,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0021858465262872386,0.047842077407285445,0.0
5.587,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0015469120994057216,0.004892675611567414,0.0
5.588,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0030652341052056766,0.04762407827905446,0.0
5.589,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.003175838136750631,0.046988655987094174,0.0
5.59,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0003915541999325778,0.05984004887659174,0.0
5.591,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.003919048045765252,0.10120307333715516,0.0
5.592,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.005075382816253246,0.029418574022651547,0.0
5.593,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.005333102749548677,0.06517696057315255,0.0
5.594,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0020510689510554337,0.0940919096552779,0.0
5.595,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-8.450182014093224e-05,0.05507167870597375,0.0
5.596,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0008921043570056338,0.06559012112455193,0.0
5.597,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.004119302350714604,0.05734653904650449,0.0
5.598,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-6.184972007625205e-05,0.03970220625485829,0.0
5.599,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.003342761039453342,0.01914819203719635,0.0
5.6,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.001557144678633497,0.03208660104452975,0.0
5.601,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0008405095570984345,0.029097977634519216,0.0
5.602,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.00014005987885328498,0.036249587217066344,0.0
5.603,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.003977767277659209,0.037891333068909384,0.0
5.604,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.001950017000217131,0.032296308341001556,0.0
5.605,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0023178195247736434,0.013380014798960477,0.0
5.606,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.004236846959581044,0.04275019592374408,0.0
