"time","x_m","x_dot_mps","theta_rad","theta_dot_radps","force_cmd_N"
5.24,0.2993587085206522,0.0014286440078124928,-0.00021018221724703414,0.0003099990002872027,-0.0022574570043709663
5.25,0.29937284039816053,0.0014006008568556323,-0.00020709875203988047,0.0003070058463582894,-0.002227016240869073
5.26,0.2993866940116055,0.0013729517196633036,-0.00020404481690752805,0.0003040845419089099,-0.00219651936445997
5.27,0.2994002732984092,0.0013456960833209707,-0.00020101973436462093,0.0003012277033297797,-0.0021659808461977903
5.28,0.2994135821901581,0.0013188333062765375,-0.00019802289813555538,0.00029842842161234307,-0.002135415155202658
5.29,0.29942662461131037,0.0012923626171525127,-0.00019505376851452566,0.0002956802431332905,-0.002104836721601444
5.3,0.29943940447789247,0.001266283114013296,-0.00019211186791526718,0.0002929771508862676,-0.002074259901899911
5.31,0.29945192569619167,0.0012405937640595395,-0.00018919677660601285,0.00029031354616280595,-0.0020436989466738886
5.32,0.29946419216144804,0.0012152934037225815,-0.00018630812862516398,0.00028768423068364647,-0.0020131679705115424
5.33,0.2994762077565487,0.0011903807391329358,-0.00018344560787316832,0.000285084389180879,-0.001982680924109026
5.34,0.29948797635072905,0.0011658543469376284,-0.0001806089443760967,0.00028250957243095064,-0.0019522515684595731
5.35,0.299499501798284,0.0011417126754423492,-0.0001777979107164148,0.00027995568073747293,-0.001921893451014789
5.36,0.2995107879372923,0.0011179540460550348,-0.00017501231862645744,0.00027741894786272053,-0.0018916198837821696
5.37,0.29952183858835685,0.0010945766550086485,-0.00017225201574013054,0.00027489592540563444,-0.0018614439232469415
5.38,0.2995326575533634,0.0010715785753416278,-0.0001695168824983879,0.0002723834676239887,-0.0018313783520587101
5.39,0.2995432486142611,0.001048957759115434,-0.00016680682920405704,0.0002698787166976748,-0.0018014356624029837
5.4,0.29955361553186544,0.0010267120398494806,-0.00016412179322162278,0.00026737908842962115,-0.0017716280409874052
5.41,0.2995637620446874,0.0010048391351544545,-0.0001614617363176116,0.0002648822583805857,-0.001741967355563201
5.42,0.2995736918677895,0.000983336649546006,-0.00015882664213726273,0.0002623861484333717,-0.001712465142922337
5.43,0.2995834086916713,0.0009622020774214298,-0.00015621651381321575,0.0002598889137819297,-0.0016831325982935574
5.44,0.29959291618118555,0.0009414328061828915,-0.00015363137170199557,0.0002573889303401153,-0.0016539805660760187
5.45,0.29960221797448533,0.0009210261194913011,-0.00015107125124412443,0.0002548847825649902,-0.001625019531846572
5.46,0.29961131768200555,0.0009009792006358682,-0.0001485362009437488,0.0002523752516888308,-0.0015962596155740805
5.47,0.29962021888547824,0.0008812891360049687,-0.00014602628046372538,0.00024985930435399346,-0.00156771056598215
5.48,0.2996289251369829,0.0008619529186447099,-0.0001435415588321715,0.00024733608164439965,-0.001539381755998992
5.49,0.2996374399580331,0.0008429674518921934,-0.00014108211275654922,0.0002448048885073041,-0.0015112821792406805
5.5,0.2996457668386996,0.0008243295530712464,-0.00013864802504141645,0.00024226518355858397,-0.0014834204474687418
5.51,0.2996539092367708,0.0008060359572388957,-0.00013623938310604715,0.0002397165692648617,-0.0014558047889661196
5.52,0.29966187057695115,0.0007880833209715675,-0.00013385627759819022,0.00023715878249543464,-0.0014284430477831123
5.53,0.29966965425009645,0.0007704682261805915,-0.00013149880110030916,0.00023459168543684734,-0.0014013426838070941
