time,V_in,V_out
1.41,0.7000000000000001,0.12018766778970773
1.42,0.705,0.12224486430200232
1.43,0.71,0.1243188179605425
1.44,0.715,0.126410214550871
1.45,0.72,0.12851866449956947
1.46,0.725,0.13064388005683356
1.47,0.73,0.13278649526019382
1.48,0.735,0.13494637675275406
1.49,0.74,0.137122955042546
1.5,0.745,0.1393157645358291
1.51,0.7500000000000001,0.14152613694562902
1.52,0.7549999999999999,0.14375245581877472
1.53,0.76,0.14599557260753934
1.54,0.7650000000000001,0.14825507289838377
1.55,0.77,0.15053121218528287
1.56,0.775,0.15282457800844965
1.57,0.78,0.15513353387436798
1.58,0.785,0.1574595529364183
1.59,0.79,0.15980118125378676
1.6,0.795,0.1621596032893384
1.61,0.8000000000000002,0.1645336431509251
1.62,0.8050000000000002,0.16692350832138675
1.6300000000000001,0.81,0.16932973411268437
1.6400000000000001,0.815,0.1717522223516639
1.6500000000000001,0.8200000000000001,0.17419036981533936
1.6600000000000001,0.8250000000000001,0.1766451027087224
1.67,0.8300000000000001,0.17911568673338674
1.68,0.8350000000000001,0.18160187833696576
1.69,0.84,0.18410323985601354
1.7,0.845,0.18662016328635828
1.71,0.8500000000000002,0.18915263404884808
1.72,0.855,0.19170060303789663
1.73,0.8600000000000001,0.19426459601608295
1.74,0.865,0.1968433283764766
1.75,0.87,0.19943748215701682
1.76,0.875,0.20204732544799653
1.77,0.88,0.20467185210832223
1.78,0.8850000000000001,0.2073114537022243
1.79,0.89,0.20996606430587605
1.8,0.895,0.2126360119070441
1.81,0.9000000000000002,0.2153207340973326
1.82,0.905,0.2180208540178655
1.83,0.91,0.220734989066614
1.84,0.915,0.22346439021911832
1.85,0.92,0.2262079375299218
1.86,0.925,0.2289666851330522
1.87,0.93,0.2317394699603608
1.8800000000000001,0.935,0.2345266448505901
1.8900000000000001,0.9400000000000001,0.23732796555850727
1.9000000000000001,0.9450000000000001,0.2401443469950129
1.9100000000000001,0.9500000000000003,0.24297451480857485
1.92,0.9550000000000001,0.24581878556315814
1.93,0.96,0.2486776173152253
1.94,0.9650000000000001,0.2515501771278156
1.95,0.97,0.25443680538418745
1.96,0.9750000000000001,0.25733690824238653
1.97,0.98,0.2602511293271229
1.98,0.9849999999999999,0.26317919827253866
1.99,0.99,0.26612066769184006
2.0,0.995,0.2690757343864202
2.0100000000000002,1.0,0.27204477638526664
2.02,1.0,0.27502644680389976
2.0300000000000002,1.0,0.2780207483213864
2.04,1.0,0.2810273413653145
2.05,1.0,0.28404553712196356
2.06,1.0,0.28707486769841495
2.07,1.0,0.290114714273699
2.08,1.0,0.29316476726031826
2.09,1.0,0.2962243769981993
2.1,1.0,0.29929305605361156
2.11,1.0,0.30237036835296843
2.12,1.0,0.30545573880387844
2.13,1.0,0.3085487548268909
2.14,1.0,0.3116489763771701
2.15,1.0,0.3147559597129304
2.16,1.0,0.31786926528691956
2.17,1.0,0.3209885374045417
2.18,1.0,0.324113321911639
2.19,1.0,0.3272431661198847
2.2,1.0,0.33037764356905475
2.21,1.0,0.3335163484168297
2.22,1.0,0.33665888683637724
2.23,1.0,0.33980487283946476
2.24,1.0,0.34295392721393153
2.25,1.0,0.346105677559552
2.2600000000000002,1.0,0.3492597584380388
2.27,1.0,0.3524158113982404
2.2800000000000002,1.0,0.3555734849062177
2.29,1.0,0.3587324342405505
2.3000000000000003,1.0,0.3618923213841986
2.31,1.0,0.3650528149211885
2.32,1.0,0.3682135906442024
2.33,1.0,0.3713743290879747
2.34,1.0,0.3745347179907775
2.35,1.0,0.37769445153718567
2.36,1.0,0.38085322998320437
2.37,1.0,0.38401075954278935
2.38,1.0,0.38716675233589787
2.39,1.0,0.3903209263265745
2.4,1.0,0.39347300524468715
2.41,1.0,0.3966227185001879
2.42,1.0,0.3997698010963937
2.43,1.0,0.4029139935446502
2.44,1.0,0.4060550417806428
2.45,1.0,0.4091926970820985
2.46,1.0,0.4123267159876586
2.47,1.0,0.41545686021683587
2.48,1.0,0.41858289659102665
2.49,1.0,0.42170459695557566
2.5,1.0,0.42482173810288193
2.5100000000000002,1.0,0.42793410169653967
2.52,1.0,0.4310414741964975
2.5300000000000002,1.0,0.43414364678522693
2.54,1.0,0.43724041529488306
2.5500000000000003,1.0,0.4403315801354498
2.56,1.0,0.44341694622385236
2.57,1.0,0.446496323395723
2.58,1.0,0.4495695247204545
2.59,1.0,0.4526363681766829
2.6,1.0,0.45569667613260095
2.61,1.0,0.45875027508732996
2.62,1.0,0.46179699559066856
2.63,1.0,0.46483667220487274
2.64,1.0,0.46786914345969194
2.65,1.0,0.4708942517963009
2.66,1.0,0.47391184350618476
2.67,1.0,0.47692176866940783
2.68,1.0,0.4799238810938802
2.69,1.0,0.4829180382558011
2.7,1.0,0.4859041012411035
2.71,1.0,0.4888819346877481
2.72,1.0,0.49185140672880834
2.73,1.0,0.4948123889363242
2.74,1.0,0.4977647562659231
2.75,1.0,0.5007083870021993
2.7600000000000002,1.0,0.5036431627048469
2.77,1.0,0.5065689681555333
2.7800000000000002,1.0,0.5094856913055085
2.79,1.0,0.5123932232239353
2.8000000000000003,1.0,0.5152914580469367
2.81,1.0,0.5181802929273456
2.82,1.0,0.5210596283068295
2.83,1.0,0.5239293670218128
2.84,1.0,0.5267894149297906
2.85,1.0,0.5296396806900457
2.86,1.0,0.5324800757956442
2.87,1.0,0.5353105144757233
2.88,1.0,0.5381309136536592
2.89,1.0,0.5409411928908948
2.9,1.0,0.5437412743435618
2.91,1.0,0.5465310827177341
2.92,1.0,0.5493105452271376
2.93,1.0,0.5520795915508141
2.94,1.0,0.5548381537914894
2.95,1.0,0.5575861664343313
2.96,1.0,0.5603235663062811
2.97,1.0,0.5630502925359274
2.98,1.0,0.5657662865139513
2.99,1.0,0.5684714918541319
3.0,1.0,0.5711658543549066
3.0100000000000002,1.0,0.5738493219614784
3.02,1.0,0.5765218447284599
3.0300000000000002,1.0,0.5791833747830502
3.04,1.0,0.581833866288734
3.0500000000000003,1.0,0.5844732754094994
3.06,1.0,0.5871015602745646
3.0700000000000003,1.0,0.5897186809436098
3.08,1.0,0.5923245993725049
3.09,1.0,0.5949192793795303
3.1,1.0,0.5975026866120801
3.11,1.0,0.6000747885138441
3.12,1.0,0.6026355542924631
3.13,1.0,0.6051849548876477
3.14,1.0,0.6077229629397591
3.15,1.0,0.6102495527588424
3.16,1.0,0.612764700294108
3.17,1.0,0.6152683831038552
3.18,1.0,0.6177605803258324
3.19,1.0,0.6202412726480264
3.2,1.0,0.622710442279879
3.21,1.0,0.6251680729239203
3.22,1.0,0.6276141497478178
3.23,1.0,0.6300486593568331
3.24,1.0,0.6324715897666818
3.25,1.0,0.634882930376791
3.2600000000000002,1.0,0.6372826719439499
3.27,1.0,0.6396708065563469
3.2800000000000002,1.0,0.6420473276079899
3.29,1.0,0.6444122297735027
3.3000000000000003,1.0,0.6467655089832954
3.31,1.0,0.6491071623991002
3.3200000000000003,1.0,0.6514371883898709
3.33,1.0,0.6537555865080398
3.34,1.0,0.6560623574661277
3.35,1.0,0.6583575031137022
3.36,1.0,0.6606410264146787
3.37,1.0,0.6629129314249625
3.38,1.0,0.6651732232704237
3.39,1.0,0.6674219081252035
3.4,1.0,0.669658993190345
3.41,1.0,0.6718844866727474
3.42,1.0,0.6740983977644348
3.43,1.0,0.6763007366221409
3.44,1.0,0.6784915143471992
3.45,1.0,0.6806707429657414
3.46,1.0,0.6828384354091928
3.47,1.0,0.6849946054950674
3.48,1.0,0.6871392679080532
3.49,1.0,0.689272438181388
3.5,1.0,0.6913941326785178
3.5100000000000002,1.0,0.6935043685750392
3.52,1.0,0.6956031638409158
3.5300000000000002,1.0,0.6976905372229707
3.54,1.0,0.6997665082276465
3.5500000000000003,1.0,0.7018310971040337
3.56,1.0,0.7038843248271595
3.5700000000000003,1.0,0.7059262130815375
3.58,1.0,0.7079567842449713
3.59,1.0,0.7099760613726118
3.6,1.0,0.7119840681812614
3.61,1.0,0.7139808290339245
3.62,1.0,0.7159663689246002
3.63,1.0,0.7179407134633128
3.64,1.0,0.7199038888613785
3.65,1.0,0.7218559219169033
3.66,1.0,0.7237968400005116
3.67,1.0,0.7257266710412988
3.68,1.0,0.7276454435130085
3.69,1.0,0.7295531864204279
3.7,1.0,0.7314499292860014
3.71,1.0,0.7333357021366571
3.72,1.0,0.7352105354908448
3.73,1.0,0.7370744603457812
3.74,1.0,0.7389275081649015
3.75,1.0,0.7407697108655119
3.7600000000000002,1.0,0.742601100806643
3.77,1.0,0.7444217107770987
3.7800000000000002,1.0,0.7462315739837005
3.79,1.0,0.7480307240397219
3.8000000000000003,1.0,0.7498191949535127
3.81,1.0,0.7515970211173085
3.8200000000000003,1.0,0.753364237296225
3.83,1.0,0.7551208786174316
3.84,1.0,0.7568669805595049
3.85,1.0,0.7586025789419579
3.86,1.0,0.7603277099149426
3.87,1.0,0.7620424099491238
3.88,1.0,0.7637467158257214
3.89,1.0,0.7654406646267203
3.9,1.0,0.7671242937252426
3.91,1.0,0.768797640776083
3.92,1.0,0.7704607437064033
3.93,1.0,0.772113640706584
3.94,1.0,0.773756370221231
3.95,1.0,0.7753889709403362
3.96,1.0,0.7770114817905869
3.97,1.0,0.7786239419268257
3.98,1.0,0.7802263907236557
3.99,1.0,0.7818188677671911
4.0,1.0,0.7834014128469493
4.01,1.0,0.7849740659478842
4.0200000000000005,1.0,0.7865368672425577
4.03,1.0,0.7880898570834465
4.04,1.0,0.7896330759953858
4.05,1.0,0.7911665646681434
4.0600000000000005,1.0,0.7926903639491254
4.07,1.0,0.7942045148362105
4.08,1.0,0.7957090584707118
4.09,1.0,0.7972040361304632
4.1,1.0,0.7986894892230292
4.11,1.0,0.8001654592790367
4.12,1.0,0.8016319879456261
4.13,1.0,0.8030891169800214
4.14,1.0,0.8045368882432159
4.15,1.0,0.805975343693773
4.16,1.0,0.8074045253817397
4.17,1.0,0.8088244754426724
4.18,1.0,0.8102352360917722
4.19,1.0,0.8116368496181274
4.2,1.0,0.8130293583790644
4.21,1.0,0.8144128047946025
4.22,1.0,0.8157872313420129
4.23,1.0,0.8171526805504795
4.24,1.0,0.8185091949958597
4.25,1.0,0.8198568172955462
4.26,1.0,0.8211955901034238
4.2700000000000005,1.0,0.8225255561049253
4.28,1.0,0.823846758012179
4.29,1.0,0.8251592385592529
4.3,1.0,0.8264630404974884
4.3100000000000005,1.0,0.8277582065909262
4.32,1.0,0.8290447796118204
4.33,1.0,0.8303228023362417
4.34,1.0,0.8315923175397661
4.3500000000000005,1.0,0.8328533679932508
4.36,1.0,0.8341059964586917
4.37,1.0,0.8353502456851659
4.38,1.0,0.8365861584048554
4.39,1.0,0.8378137773291503
4.4,1.0,0.8390331451448323
4.41,1.0,0.8402443045103352
4.42,1.0,0.8414472980520834
4.43,1.0,0.8426421683609051
4.44,1.0,0.8438289579885206
4.45,1.0,0.8450077094441036
4.46,1.0,0.8461784651909153
4.47,1.0,0.8473412676430092
4.48,1.0,0.8484961591620065
4.49,1.0,0.8496431820539397
4.5,1.0,0.8507823785661658
4.51,1.0,0.8519137908843444
4.5200000000000005,1.0,0.8530374611294834
4.53,1.0,0.8541534313550486
4.54,1.0,0.8552617435441379
4.55,1.0,0.8563624396067179
4.5600000000000005,1.0,0.8574555613769228
4.57,1.0,0.8585411506104139
4.58,1.0,0.8596192489817999
4.59,1.0,0.8606898980821153
4.6000000000000005,1.0,0.861753139416358
4.61,1.0,0.8628090144010833
4.62,1.0,0.8638575643620549
4.63,1.0,0.8648988305319512
4.64,1.0,0.8659328540481263
4.65,1.0,0.8669596759504246
4.66,1.0,0.8679793371790482
4.67,1.0,0.8689918785724773
4.68,1.0,0.8699973408654407
4.69,1.0,0.8709957646869373
4.7,1.0,0.8719871905583072
4.71,1.0,0.8729716588913516
4.72,1.0,0.8739492099865012
4.73,1.0,0.8749198840310307
4.74,1.0,0.8758837210973216
4.75,1.0,0.8768407611411692
4.76,1.0,0.8777910440001354
4.7700000000000005,1.0,0.8787346093919464
