time,stage_id,valve,level,y,_output
5.02,stage1,0,1.6576502198592564,166,0
5.03,stage1,0,1.6676502198592567,167,0
5.04,stage1,0,1.6776502198592569,168,0
5.05,stage1,0,1.6876502198592571,169,0
5.06,stage1,0,1.6976502198592573,170,0
5.07,stage1,0,1.7076502198592576,171,0
5.08,stage1,0,1.7176502198592578,172,0
5.09,stage1,0,1.727650219859258,173,0
5.1,stage1,0,1.7376502198592583,174,0
5.11,stage1,0,1.7476502198592585,175,0
5.12,stage1,0,1.7576502198592587,176,0
5.13,stage1,0,1.767650219859259,177,0
5.14,stage1,0,1.7776502198592592,178,0
5.15,stage1,0,1.7876502198592594,179,0
5.16,stage1,0,1.7976502198592597,180,0
5.17,stage1,0,1.8076502198592599,181,0
5.18,stage1,0,1.8176502198592601,182,0
5.19,stage1,0,1.8276502198592603,183,0
5.2,stage1,0,1.8376502198592606,184,0
5.21,stage1,0,1.8476502198592608,185,0
5.22,stage1,0,1.857650219859261,186,0
5.23,stage1,0,1.8676502198592613,187,0
5.24,stage1,0,1.8776502198592615,188,0
5.25,stage1,0,1.8876502198592617,189,0
5.26,stage1,0,1.897650219859262,190,0
5.27,stage1,0,1.9076502198592622,191,0
5.28,stage1,0,1.9176502198592624,192,0
5.29,stage1,0,1.9276502198592627,193,0
5.3,stage1,0,1.937650219859263,194,0
5.31,stage1,0,1.9476502198592631,195,0
5.32,stage1,0,1.9576502198592634,196,0
5.33,stage1,0,1.9676502198592636,197,0
5.34,stage1,0,1.9776502198592638,198,0
5.35,stage1,0,1.987650219859264,199,0
5.36,stage1,0,1.9976502198592643,200,0
5.37,stage1,1,2.007650219859264,201,0
5.38,stage1,1,1.999439054149716,200,0
5.39,stage1,1,1.9877092122342954,199,0
5.4,stage1,1,1.9761065313093424,198,0
5.41,stage1,1,1.9646296328466881,196,0
5.42,stage1,1,1.9532771532625264,195,0
5.43,stage1,1,1.9420477437554036,194,0
5.44,stage1,1,1.930940070145967,193,0
5.45,stage1,1,1.9199528127184493,192,0
5.46,stage1,1,1.9090846660638712,191,0
5.47,stage1,1,1.8983343389249447,190,0
5.48,stage1,1,1.8877005540426568,189,0
5.49,stage1,1,1.8771820480045172,188,0
5.5,stage1,1,1.8667775710944507,187,0
5.51,stage1,1,1.856485887144317,186,0
5.52,stage1,1,1.8463057733870394,185,0
5.53,stage1,1,1.8362360203113282,184,0
5.54,stage1,1,1.8262754315179748,183,0
5.55,stage1,1,1.816422823577709,182,0
5.56,stage1,1,1.806677025890591,181,0
5.57,stage1,1,1.7970368805469341,180,0
5.58,stage1,1,1.7875012421897303,179,0
5.59,stage1,1,1.7780689778785697,178,0
5.6,stage1,1,1.7687389669550344,177,0
5.61,stage1,1,1.7595101009095515,176,0
5.62,stage1,1,1.7503812832496903,175,0
5.63,stage1,1,1.7413514293698866,174,0
5.64,stage1,1,1.7324194664225792,173,0
5.65,stage1,1,1.7235843331907437,172,0
5.66,stage1,1,1.7148449799618082,171,0
5.67,stage1,1,1.7062003684029352,171,0
5.68,stage1,1,1.697649471437657,170,0
5.69,stage1,1,1.689191273123847,169,0
5.7,stage1,1,1.6808247685330138,168,0
5.71,stage1,1,1.6725489636309057,167,0
5.72,stage1,1,1.664362875159407,166,0
5.73,stage1,1,1.656265530519718,166,0
5.74,stage1,1,1.648255967656797,165,0
5.75,stage1,1,1.6403332349450581,164,0
5.76,stage1,1,1.6324963910753088,163,0
5.77,stage1,1,1.6247445049429103,162,0
5.78,stage1,1,1.617076655537153,162,0
5.79,stage1,1,1.6094919318318288,161,0
5.8,stage1,1,1.6019894326769928,160,0
5.81,stage1,1,1.5945682666918952,159,0
5.82,stage1,1,1.587227552159076,159,0
5.83,stage1,1,1.5799664169196066,158,0
5.84,stage1,1,1.572783998269468,157,0
5.85,stage1,1,1.5656794428570515,157,0
5.86,stage1,1,1.5586519065817719,156,0
5.87,stage1,1,1.5517005544937774,155,0
5.88,stage1,1,1.54482456069475,154,0
5.89,stage1,1,1.5380231082397777,154,0
5.9,stage1,1,1.5312953890402947,153,0
5.91,stage1,1,1.5246406037680686,152,0
5.92,stage1,1,1.5180579617602332,152,0
5.93,stage1,1,1.5115466809253486,151,0
5.94,stage1,1,1.5051059876504795,151,0
5.95,stage1,1,1.4987351167092815,150,0
5.96,stage1,1,1.4924333111710844,149,0
5.97,stage1,1,1.4861998223109592,149,0
5.98,stage1,1,1.4800339095207622,148,0
5.99,stage1,1,1.4739348402211419,147,0
6.0,stage1,1,1.4679018897745004,147,0
6.01,stage1,1,1.4619343413988986,146,0
6.02,stage1,1,1.4560314860828942,146,0
6.03,stage1,1,1.450192622501304,145,0
6.04,stage1,1,1.4444170569318777,144,0
6.05,stage1,1,1.4387041031728758,144,0
6.06,stage1,1,1.4330530824615424,143,0
6.07,stage1,1,1.4274633233934595,143,0
6.08,stage1,1,1.4219341618427768,142,0
6.09,stage1,1,1.4164649408833068,142,0
6.1,stage1,1,1.4110550107104738,141,0
6.11,stage1,1,1.4057037285641103,141,0
6.12,stage1,1,1.4004104586520898,140,0
6.13,stage1,1,1.3951745720747872,140,0
6.14,stage1,1,1.3899954467503601,139,0
6.15,stage1,1,1.3848724673408361,138,0
6.16,stage1,1,1.3798050251790055,138,0
6.17,stage1,1,1.374792518196104,137,0
6.18,stage1,1,1.369834350850281,137,0
6.19,stage1,1,1.3649299340558418,136,0
