time,stage_id,ambient_temp_C,driver_power_request_W_profile,soc,T_core_C,voltage_V,current_A,pump_cmd,fan_cmd,mode,coolant_in_temp_C,coolant_flow_kgps,T_surface_C
2216.7,stage1,35.0,15000,0.8,30.517981299017357,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.28934601889456
2216.8,stage1,35.0,15000,0.8,30.51801168678841,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.289376108859486
2216.9,stage1,35.0,15000,0.8,30.518042074556195,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.28940619605209
2217.0,stage1,35.0,15000,0.8,30.518072462320685,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.289436280472756
2217.1,stage1,35.0,15000,0.8,30.51810285008185,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.28946636212187
2217.2,stage1,35.0,15000,0.8,30.518133237839656,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.28949644099982
2217.3,stage1,35.0,15000,0.8,30.518163625594077,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.289526517106985
2217.4,stage1,35.0,15000,0.8,30.51819401334508,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.28955659044376
2217.5,stage1,35.0,15000,0.8,30.51822440109264,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.28958666101052
2217.6,stage1,35.0,15000,0.8,30.518254788836717,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.28961672880765
2217.7,stage1,35.0,15000,0.8,30.518285176577287,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.289646793835544
2217.8,stage1,35.0,15000,0.8,30.518315564314317,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.28967685609457
2217.9,stage1,35.0,15000,0.8,30.51834595204778,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.28970691558513
2218.0,stage1,35.0,15000,0.8,30.518376339777646,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.289736972307594
2218.1,stage1,35.0,15000,0.8,30.51840672750388,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.28976702626235
2218.2,stage1,35.0,15000,0.8,30.518437115226455,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.28979707744979
2218.3,stage1,35.0,15000,0.8,30.518467502945338,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.289827125870296
2218.4,stage1,35.0,15000,0.8,30.518497890660502,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.28985717152425
2218.5,stage1,35.0,15000,0.8,30.518528278371914,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.289887214412026
2218.6,stage1,35.0,15000,0.8,30.518558666079546,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.289917254534025
2218.7,stage1,35.0,15000,0.8,30.518589053783366,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.28994729189062
2218.8,stage1,35.0,15000,0.8,30.518619441483345,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.2899773264822
2218.9,stage1,35.0,15000,0.8,30.518649829179452,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.29000735830915
2219.0,stage1,35.0,15000,0.8,30.518680216871658,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.29003738737185
2219.1,stage1,35.0,15000,0.8,30.51871060455993,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.29006741367068
2219.2,stage1,35.0,15000,0.8,30.518740992244243,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.29009743720603
2219.3,stage1,35.0,15000,0.8,30.518771379924562,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.29012745797828
2219.4,stage1,35.0,15000,0.8,30.518801767600856,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.29015747598782
2219.5,stage1,35.0,15000,0.8,30.518832155273095,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.290187491235024
2219.6,stage1,35.0,15000,0.8,30.518862542941253,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.29021750372028
2219.7,stage1,35.0,15000,0.8,30.518892930605297,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.29024751344397
2219.8,stage1,35.0,15000,0.8,30.518923318265198,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.290277520406484
2219.9,stage1,35.0,15000,0.8,30.518953705920925,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.290307524608195
2220.0,stage1,35.0,15000,0.8,30.518984093572445,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.2903375260495
2220.1,stage1,35.0,15000,0.8,30.51901448121973,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.29036752473077
2220.2,stage1,35.0,15000,0.8,30.519044868862753,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.29039752065239
2220.3,stage1,35.0,15000,0.8,30.51907525650148,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.29042751381475
2220.4,stage1,35.0,15000,0.8,30.51910564413588,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.290457504218224
2220.5,stage1,35.0,15000,0.8,30.519136031765925,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.2904874918632
2220.6,stage1,35.0,15000,0.8,30.519166419391585,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.29051747675006
2220.7,stage1,35.0,15000,0.8,30.51919680701283,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.29054745887919
2220.8,stage1,35.0,15000,0.8,30.519227194629625,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.29057743825096
2220.9,stage1,35.0,15000,0.8,30.519257582241945,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.290607414865775
2221.0,stage1,35.0,15000,0.8,30.51928796984976,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.290637388724
2221.1,stage1,35.0,15000,0.8,30.519318357453038,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.290667359826024
2221.2,stage1,35.0,15000,0.8,30.519348745051747,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.29069732817223
2221.3,stage1,35.0,15000,0.8,30.51937913264586,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.29072729376299
2221.4,stage1,35.0,15000,0.8,30.519409520235346,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.2907572565987
2221.5,stage1,35.0,15000,0.8,30.519439907820175,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.29078721667974
2221.6,stage1,35.0,15000,0.8,30.519470295400314,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.29081717400649
2221.7,stage1,35.0,15000,0.8,30.51950068297574,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.29084712857933
2221.8,stage1,35.0,15000,0.8,30.519531070546414,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.290877080398644
2221.9,stage1,35.0,15000,0.8,30.51956145811231,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.29090702946482
2222.0,stage1,35.0,15000,0.8,30.5195918456734,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.29093697577823
2222.1,stage1,35.0,15000,0.8,30.51962223322965,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.29096691933926
2222.2,stage1,35.0,15000,0.8,30.519652620781034,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.2909968601483
2222.3,stage1,35.0,15000,0.8,30.51968300832752,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.29102679820572
2222.4,stage1,35.0,15000,0.8,30.519713395869076,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.29105673351191
2222.5,stage1,35.0,15000,0.8,30.519743783405673,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.29108666606725
2222.6,stage1,35.0,15000,0.8,30.519774170937282,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.29111659587212
2222.7,stage1,35.0,15000,0.8,30.51980455846387,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.2911465229269
2222.8,stage1,35.0,15000,0.8,30.519834945985412,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.291176447231976
2222.9,stage1,35.0,15000,0.8,30.519865333501873,381.184,0.0,0.0,0.0,0,35.0,3e-323,33.29120636878773
