time,stage_id,valve,level,y,_output
38.3,stage1,1,1.679983109073577,168,0
38.4,stage1,1,1.6012346910385313,160,0
38.5,stage1,1,1.530618589255725,153,0
38.6,stage1,1,1.4672949828211115,147,0
38.7,stage1,1,1.4105107787847717,141,0
38.8,stage1,1,1.3595906557913013,136,0
38.9,stage1,1,1.3139290326397148,131,0
39.0,stage1,1,1.2729828662468152,127,0
39.1,stage1,1,1.2362651933618831,124,0
39.2,stage1,1,1.2033393392257892,120,0
39.3,stage1,1,1.1738137242994617,117,0
39.4,stage1,1,1.1473372072993406,115,0
39.5,stage1,1,1.1235949091556159,112,0
39.6,stage1,1,1.1023044682285499,110,0
39.7,stage1,1,1.083212682247054,108,0
39.8,stage1,1,1.066092497032859,107,0
39.9,stage1,1,1.0507403061978873,105,0
40.0,stage1,1,1.0369735297007527,104,0
40.1,stage1,1,1.0246284424647132,102,0
40.2,stage1,1,1.0135582272333437,101,0
40.3,stage1,1,1.0036312285069937,100,0
40.4,stage1,1,0.9947293867944943,99,0
40.5,stage1,0,1.0929222950751531,109,0
40.6,stage1,0,1.1929222950751555,119,0
40.7,stage1,0,1.2929222950751578,129,0
40.8,stage1,0,1.39292229507516,139,0
40.9,stage1,0,1.4929222950751624,149,0
41.0,stage1,0,1.5929222950751647,159,0
41.1,stage1,0,1.692922295075167,169,0
41.2,stage1,0,1.7929222950751693,179,0
41.3,stage1,0,1.8929222950751716,189,0
41.4,stage1,0,1.992922295075174,199,0
41.5,stage1,0,2.092922295075172,209,0
41.6,stage1,1,1.9749393158688906,197,0
41.7,stage1,1,1.8657308935052106,187,0
41.8,stage1,1,1.767800379323437,177,0
41.9,stage1,1,1.679983108454262,168,0
42.0,stage1,1,1.6012346904831722,160,0
42.1,stage1,1,1.5306185887577182,153,0
42.2,stage1,1,1.4672949823745345,147,0
42.3,stage1,1,1.4105107783843134,141,0
42.4,stage1,1,1.3595906554321981,136,0
42.5,stage1,1,1.3139290323176958,131,0
42.6,stage1,1,1.272982865958051,127,0
42.7,stage1,1,1.2362651931029398,124,0
42.8,stage1,1,1.2033393389935862,120,0
42.9,stage1,1,1.1738137240912379,117,0
43.0,stage1,1,1.147337207112619,115,0
43.1,stage1,1,1.1213599272590329,112,0
43.2,stage1,1,1.1003002919793001,110,0
43.3,stage1,1,1.081415476442301,108,0
43.4,stage1,1,1.064480887921211,106,0
43.5,stage1,1,1.0492951272863371,105,0
43.6,stage1,1,1.0356775938120224,104,0
43.7,stage1,1,1.0234663373341455,102,0
43.8,stage1,1,1.0125161322144194,101,0
43.9,stage1,1,1.0026967502055897,100,0
