time,stage_id,ambient_temp_C_profile,enable,i_load_A_profile,temp_ref_C,temp_cell_C,soc,v_term_V
0.73,stage1,25.0,True,40.0,35.0,29.99326601499064,0.85,359.6586
0.74,stage1,25.0,True,40.0,35.0,29.993173831618055,0.85,359.6586
0.75,stage1,25.0,True,40.0,35.0,29.993081649947317,0.85,359.6586
0.76,stage1,25.0,True,40.0,35.0,29.992989469978394,0.85,359.6586
0.77,stage1,25.0,True,40.0,35.0,29.992897291711255,0.85,359.6586
0.78,stage1,25.0,True,40.0,35.0,29.99280511514587,0.85,359.6586
0.79,stage1,25.0,True,40.0,35.0,29.992712940282207,0.85,359.6586
0.8,stage1,25.0,True,40.0,35.0,29.992620767120233,0.85,359.6586
0.81,stage1,25.0,True,40.0,35.0,29.992528595659916,0.85,359.6586
0.82,stage1,25.0,True,40.0,35.0,29.99243642590123,0.85,359.6586
0.83,stage1,25.0,True,40.0,35.0,29.992344257844135,0.85,359.6586
0.84,stage1,25.0,True,40.0,35.0,29.992252091488606,0.85,359.6586
0.85,stage1,25.0,True,40.0,35.0,29.99215992683461,0.85,359.6586
0.86,stage1,25.0,True,40.0,35.0,29.992067763882115,0.85,359.6586
0.87,stage1,25.0,True,40.0,35.0,29.99197560263109,0.85,359.6586
0.88,stage1,25.0,True,40.0,35.0,29.991883443081502,0.85,359.6586
0.89,stage1,25.0,True,40.0,35.0,29.991791285233322,0.85,359.6586
0.9,stage1,25.0,True,40.0,35.0,29.99169912908652,0.85,359.6586
0.91,stage1,25.0,True,40.0,35.0,29.99160697464106,0.85,359.6586
0.92,stage1,25.0,True,40.0,35.0,29.99151482189691,0.85,359.6586
0.93,stage1,25.0,True,40.0,35.0,29.991422670854043,0.85,359.6586
0.94,stage1,25.0,True,40.0,35.0,29.991330521512428,0.85,359.6586
0.95,stage1,25.0,True,40.0,35.0,29.99123837387203,0.85,359.6586
0.96,stage1,25.0,True,40.0,35.0,29.99114622793282,0.85,359.6586
0.97,stage1,25.0,True,40.0,35.0,29.991054083694767,0.85,359.6586
0.98,stage1,25.0,True,40.0,35.0,29.99096194115784,0.85,359.6586
0.99,stage1,25.0,True,40.0,35.0,29.990869800322002,0.85,359.6586
1.0,stage1,25.0,True,40.0,35.0,29.990777661187227,0.85,359.6586
