case_id,source_type,case_category,ground_truth_fmu_count,ok,bundle_name,top1_hit,topk_hit,execution_success,execution_time_seconds,mae,rmse,nrmse,decision_correct,error,artifact_root
case_bench_fmu-001555,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,2.8941314090043306,0.07273835665401746,0.25552263319217094,0.028411667108221884,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001555
case_bench_fmu-001569,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,2.489546897355467,0.005570806095996394,0.010503658127964048,0.00023958735475656986,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001569
case_bench_fmu-001567,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,3.6365478499792516,0.00440901124496866,0.009657274213687676,0.00965771260816764,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001567
case_bench_fmu-001570,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,3.09707746328786,0.0014232495973079053,0.0028802893035512755,0.00033433862237605027,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001570
case_bench_fmu-001559,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,6.278120202943683,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001559
case_bench_fmu-001571,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,1.7893228377215564,2.3500646587726526,3.967188212324491,0.09132014417432037,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001571
case_bench_fmu-001575,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,1.3817215976305306,0.4084265383863449,0.7364114296620914,0.016797468250903048,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001575
case_bench_fmu-001572,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,False,False,True,5.078022955916822,28.000000000000075,28.160255680657524,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001572
case_bench_fmu-001573,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,False,False,True,5.835817014798522,4.307496493730776,4.688809679811407,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001573
case_bench_fmu-001577,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,1.5450016628019512,3.430786459454397,4.45245321977421,0.10346837236211587,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001577
case_bench_fmu-001574,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,False,False,True,5.963226092047989,43.442640703146,43.44264070314599,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001574
case_bench_fmu-001576,benchmark_single_fmu_case,complex,1,True,ablation_stage1_heuristic_neighborhood,False,False,True,4.628262583166361,4.3074964937307785,4.688809679811409,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001576
case_bench_fmu-001579,benchmark_single_fmu_case,complex,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,1.7609082688577473,0.1256265365449299,0.21495061880327024,0.0462025183607517,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001579
case_bench_fmu-001578,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,1.8523734509944916,0.4084265383863449,0.7364114296620914,0.016797468250903048,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001578
case_bench_fmu-001580,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,1.6608200781047344,3.430786459454397,4.45245321977421,0.10346837236211587,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001580
case_bench_fmu-001581,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,1.876232957933098,0.4084265383640389,0.7364114297029456,0.016797468249888942,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001581
case_bench_fmu-001582,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,1.8521959008648992,0.04852126828936099,0.07013110402873741,0.019551064420031277,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001582
case_bench_fmu-001583,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,2.0054231719113886,3.4307864594542687,4.452453219774471,0.10346837236212193,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001583
case_bench_fmu-001584,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,1.9045847398228943,0.005467133231394258,0.010411137408053411,0.00023747696519796973,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001584
case_bench_fmu-001586,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,1.714790838304907,0.0055242257814866556,0.010448118548629468,0.00023832050311134575,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001586
case_bench_fmu-001588,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,1.8997661569155753,1.726628048955157,3.435693404710422,0.07984039067313789,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001588
case_bench_fmu-001589,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,1.7016399018466473,0.005524225698563326,0.010448118381493834,0.0002383204992989993,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001589
case_bench_fmu-001591,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,1.269761797040701,1.726628048955157,3.435693404710422,0.07984039067313789,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001591
case_bench_fmu-001592,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,1.314624680671841,0.0055242257814866556,0.010448118548629468,0.00023832050311134575,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001592
case_bench_fmu-001593,benchmark_single_fmu_case,complex,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,1.440872407052666,0.001423249595855058,0.0028802893044185944,0.00033433862165342855,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001593
case_bench_fmu-001587,benchmark_single_fmu_case,complex,1,True,ablation_stage1_heuristic_neighborhood,False,False,True,4.9496308281086385,4.3074964937307785,4.688809679811409,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001587
case_bench_fmu-001590,benchmark_single_fmu_case,complex,1,True,ablation_stage1_heuristic_neighborhood,False,False,True,4.383099111262709,4.3074964937307785,4.688809679811409,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001590
case_bench_fmu-001595,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,False,1.4951570588164032,,,,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001595
case_bench_fmu-001597,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,1.4562759902328253,0.003833560320701191,0.0071041089950188594,0.005028469288661886,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001597
case_bench_fmu-001598,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,1.5359669220633805,0.012638100092564978,0.015611539777336977,0.00541596796116253,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001598
case_bench_fmu-001594,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,False,False,True,5.442679340019822,43.03202145861184,43.03202145861184,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001594
case_bench_fmu-001600,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,1.3245739880949259,2.1929582507955654e-08,2.8782209430508515e-08,0.0015278527836883337,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001600
case_bench_fmu-001605,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,2.0903852111659944,6.379679552502482e-15,1.1986962617076869e-14,2.3153345504953964e-15,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001605
case_bench_fmu-001613,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,2.6882230499759316,2.288495763529679e-17,1.560168661101028e-16,6.1595384727003104e-18,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001613
case_bench_fmu-001621,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,False,False,False,2.1442257300950587,,,,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001621
case_bench_fmu-001629,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,3.0403705057688057,2.4665713542746886e-11,7.625284618363354e-11,3.0143129765399282e-05,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001629
case_bench_fmu-001657,benchmark_single_fmu_case,simple,1,True,ablation_stage1_heuristic_neighborhood,True,True,True,2.116020993795246,0.07273835665401746,0.25552263319217094,0.028411667108221884,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001657
case_bench_fmu-001665,benchmark_single_fmu_case,simple,1,False,ablation_stage1_heuristic_neighborhood,,,,,,,,,ValueError: compose() received empty selected_fmus,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_heuristic_neighborhood/case_bench_fmu-001665
