time,stage_id,disturbance_force_N_profile,enable,reset,x_ref_m_profile,x_m,theta_rad,theta_hat_rad,bias_hat_rps,force_cmd_N,x_dot_mps,theta_dot_rps,theta_meas_rad,theta_dot_meas_rps,theta_dot_hat_rps
15.729,stage1,0.0,True,False,0.2,1.616573844078724,-17.874236898482515,-17.534972036602426,-0.3170365218039722,1.9150526080727632,-2.3003558424610753,1.419398724238915,0.977177308031326,1.4647657923108761,1.7818023141148482
15.73,stage1,0.0,True,False,0.2,1.6142734882362602,-17.872817499758273,-17.541605416372803,-0.3172765218039725,1.5767515559108944,-2.461947687962663,1.686314991406493,0.9829148964178849,1.693236961480998,2.0105134832849703
15.731,stage1,0.0,True,False,0.2,1.611811540548299,-17.871131184766867,-17.548168451457244,-0.31751652180397233,1.2452165247928604,-2.623264820818155,1.9523233149848964,0.9797987509436972,1.9915591173945395,2.309075639198512
15.732,stage1,0.0,True,False,0.2,1.6091882757274822,-17.869178861451882,-17.554584361238415,-0.3177565218039722,0.9203121942971833,-2.7842699137184814,2.21727615824112,0.9805919810226733,2.2891077074793165,2.6068642292832886
15.733,stage1,0.0,True,False,0.2,1.6064040058137603,-17.866961585293637,-17.560884409218655,-0.3179965218039725,0.6019059504108505,-2.9449255266250383,2.4810267594117597,0.9799691612886612,2.5469177673165833,2.8649142891205557
15.734,stage1,0.0,True,False,0.2,1.603459080287137,-17.864480558534225,-17.567045429962537,-0.3182365218039723,0.2898678314028064,-3.105194158752491,2.7434293451683627,0.9806204751257752,2.810363108004367,3.128599629808339
15.735,stage1,0.0,True,False,0.2,1.6003538861283861,-17.86173712918906,-17.57283478980385,-0.31846346470975173,-0.015929525225080232,-3.2650382998490945,3.004339343733803,0.9930424995104978,3.0951506180660773,3.413614082775829
15.736,stage1,0.0,True,False,0.2,1.597088847828533,-17.858732789845323,-17.578563180056378,-0.31868801760765086,-0.31561093472094487,-3.42442048073708,3.2636135972622076,0.9903016191087808,3.3033260303487375,3.6220140479563883
15.737,stage1,0.0,True,False,0.2,1.5936644273477978,-17.855469176248064,-17.584155449486587,-0.3189072345693151,-0.6092987160263632,-3.583303323077106,3.521110573089776,0.9913792699717376,3.5884874956848907,3.9073947302542056
15.738,stage1,0.0,True,False,0.2,1.5900811240247226,-17.851948065674975,-17.58956818742681,-0.3191194138965718,-0.8971127417056763,-3.7416495883142273,3.7766905734448923,0.9947635750408992,3.8129032085533554,4.132022622449927
15.739,stage1,0.0,True,False,0.2,1.5863394744364037,-17.848171375101526,-17.594814841925704,-0.31932508275292837,-1.1791704868719075,-3.8994222257486193,4.030215943174346,0.9976550091676302,4.074594950918619,4.393920033671547
15.74,stage1,0.0,True,False,0.2,1.5824400522106572,-17.844141159158355,-17.599762701422957,-0.31951903884522065,-1.4555870771343162,-4.056584419675465,4.281551275036176,1.007348104750303,4.329902928169565,4.649421967014786
15.741,stage1,0.0,True,False,0.2,1.578383467790984,-17.83985960788332,-17.604510484807705,-0.3197051519539027,-1.7264753355914797,-4.213099635531987,4.530563612091296,1.012404050878331,4.560821244708704,4.8805263966626065
15.742,stage1,0.0,True,False,0.2,1.5741703681554469,-17.835329044271223,-17.60907603289401,-0.3198841214388858,-1.9919458288799745,-4.368931664975918,4.777122646697137,1.01676803241617,4.8245344037426925,5.144418525181578
15.743,stage1,0.0,True,False,0.2,1.5698014364904733,-17.83055192162453,-17.613496791191338,-0.3200574151641411,-2.2521069123022306,-4.524044669821645,5.021100915604076,1.0194419737781573,5.0598978677669875,5.379955282931128
15.744,stage1,0.0,True,False,0.2,1.5652773918206542,-17.825530820708927,-17.617713134472027,-0.32022269582074414,-2.5070647740560448,-4.6784032247549785,5.262373990642695,1.025241966312791,5.327788810206199,5.648011506026943
15.745,stage1,0.0,True,False,0.2,1.5605989885959017,-17.820268446718288,-17.62180555058942,-0.3203831185325461,-2.7569234785747856,-4.831972358735172,5.500820664468345,1.0272219811968064,5.552345637319249,5.872728755851795
15.746,stage1,0.0,True,False,0.2,1.5557670162371606,-17.81476762605381,-17.625707477722496,-0.3205360740761626,-3.001785009003589,-4.984717594998702,5.736323130838935,1.0326540142958578,5.779577983974186,6.100114058050349
15.747,stage1,0.0,True,False,0.2,1.5507822986421647,-17.809031302922975,-17.629385591562343,-0.32068025613868456,-3.241749308823384,-5.136604989568552,5.968767158887607,1.039942751823812,6.0238841715289695,6.344564427667654
15.748,stage1,0.0,True,False,0.2,1.5456456936525989,-17.80306253576409,-17.632915960344857,-0.32081864659495907,-3.476914322646786,-5.287601168178301,6.198042260866131,1.043651890850672,6.253082507370712,6.573901153965671
15.749,stage1,0.0,True,False,0.2,1.540358092484414,-17.796864493503218,-17.636058633743218,-0.32094183939217485,-3.707376036194132,-5.437673361509657,6.42404185282681,1.059506291276005,6.440276781055048,6.761218620447223
15.75,stage1,0.0,True,False,0.2,1.5349204191229073,-17.790440451650394,-17.639219190975794,-0.3210657332356919,-3.933228515470124,-5.586789438649664,6.646663407734213,1.0554694261666064,6.690522974055932,7.011588707291624
15.751,stage1,0.0,True,False,0.2,1.5293336296842608,-17.78379378824266,-17.642131914382123,-0.32117991199322,-4.154563945160599,-5.734917938674742,6.865808600514209,1.0647005602464112,6.93879888632512,7.259978798318341
15.752,stage1,0.0,True,False,0.2,1.523598711745579,-17.77692797964214,-17.644761442430376,-0.32128298949271156,-4.371472666257652,-5.882028100263659,7.081383444558424,1.07594760474408,7.105368334064479,7.4266513235571905
