time,cruise_speed,sea_state,K_T,RPM,Thrust,cavitation_margin,resistance_margin,shaft_torsional_stress,thermal_margin,SFOC
19.6065,5.8820,2.0,0.198586,30.453763,66.972561,0.503681,0.439537,0.432754,0.300290,197.344920
19.7066,5.9120,2.0,0.198691,30.627121,67.773299,0.503228,0.440141,0.433510,0.299912,197.329806
19.8066,5.9420,2.0,0.198841,30.872107,68.913690,0.502587,0.440995,0.434578,0.299378,197.308447
19.9066,5.9720,2.0,0.198974,31.089958,69.936437,0.502017,0.441755,0.435527,0.298903,197.289454
20.0067,6.0020,2.0,0.199127,31.341026,71.125279,0.501360,0.442631,0.436622,0.298356,197.267565
20.1067,6.0320,2.0,0.199298,31.620788,72.462805,0.500629,0.443606,0.437841,0.297746,197.243175
20.2067,6.0620,2.0,0.199396,31.781454,73.237062,0.500208,0.444167,0.438542,0.297396,197.229167
20.3068,6.0920,2.0,0.199551,32.035875,74.472275,0.499543,0.445054,0.439651,0.296841,197.206986
20.4068,6.1220,2.0,0.199607,32.128162,74.923102,0.499302,0.445376,0.440053,0.296640,197.198940
20.5068,6.1521,2.0,0.199807,32.455463,76.533926,0.498445,0.446517,0.441480,0.295927,197.170404
20.6069,6.1821,2.0,0.199922,32.643199,77.466289,0.497954,0.447172,0.442298,0.295518,197.154037
20.7069,6.2121,2.0,0.200049,32.852111,78.511048,0.497408,0.447900,0.443209,0.295062,197.135823
20.8069,6.2421,2.0,0.200199,33.097063,79.745747,0.496767,0.448755,0.444277,0.294528,197.114467
20.9070,6.2721,2.0,0.200355,33.352407,81.044010,0.496099,0.449645,0.445390,0.293972,197.092205
21.0070,6.3021,2.0,0.200532,33.643274,82.536804,0.495339,0.450659,0.446658,0.293338,197.066846
21.1070,6.3321,2.0,0.200603,33.759742,83.138717,0.495034,0.451066,0.447165,0.293084,197.056692
21.2071,6.3621,2.0,0.200784,34.056394,84.682593,0.494258,0.452100,0.448459,0.292437,197.030829
21.3071,6.3921,2.0,0.200908,34.259667,85.749452,0.493727,0.452809,0.449345,0.291994,197.013107
21.4071,6.4221,2.0,0.201053,34.496716,87.002792,0.493107,0.453636,0.450378,0.291478,196.992440
21.5072,6.4522,2.0,0.201234,34.792669,88.581527,0.492332,0.454668,0.451668,0.290833,196.966637
21.6072,6.4822,2.0,0.201360,34.999075,89.691764,0.491793,0.455388,0.452568,0.290383,196.948642
21.7072,6.5122,2.0,0.201524,35.268879,91.154425,0.491087,0.456329,0.453744,0.289795,196.925119
21.8073,6.5422,2.0,0.201619,35.424325,92.003002,0.490680,0.456871,0.454422,0.289456,196.911567
21.9073,6.5722,2.0,0.201743,35.627492,93.118577,0.490149,0.457579,0.455307,0.289013,196.893854
22.0073,6.6022,2.0,0.201898,35.881531,94.523842,0.489485,0.458465,0.456415,0.288459,196.871706
22.1074,6.6322,2.0,0.202053,36.135476,95.940116,0.488820,0.459351,0.457522,0.287906,196.849566
22.2074,6.6622,2.0,0.202192,36.362997,97.218829,0.488225,0.460144,0.458514,0.287410,196.829730
22.3074,6.6922,2.0,0.202294,36.530955,98.168738,0.487786,0.460730,0.459246,0.287044,196.815087
22.4075,6.7222,2.0,0.202471,36.820891,99.820432,0.487028,0.461741,0.460510,0.286412,196.789809
22.5075,6.7523,2.0,0.202617,37.059153,101.189075,0.486404,0.462572,0.461548,0.285893,196.769036
22.6075,6.7823,2.0,0.202828,37.405172,103.194928,0.485499,0.463779,0.463057,0.285138,196.738869
22.7076,6.8123,2.0,0.202950,37.604876,104.362446,0.484977,0.464475,0.463927,0.284703,196.721458
22.8076,6.8423,2.0,0.203008,37.700284,104.922770,0.484728,0.464808,0.464343,0.284495,196.713140
22.9076,6.8723,2.0,0.203167,37.960664,106.460356,0.484047,0.465716,0.465478,0.283928,196.690439
23.0077,6.9023,2.0,0.203273,38.134120,107.491469,0.483593,0.466321,0.466234,0.283550,196.675316
23.1077,6.9323,2.0,0.203441,38.410186,109.143825,0.482871,0.467283,0.467438,0.282948,196.651248
23.2077,6.9623,2.0,0.203611,38.688099,110.821250,0.482144,0.468253,0.468649,0.282342,196.627018
23.3078,6.9923,2.0,0.203780,38.965374,112.508870,0.481419,0.469220,0.469858,0.281738,196.602844
23.4078,7.0223,2.0,0.203863,39.101555,113.342865,0.481062,0.469694,0.470451,0.281441,196.590972
23.5078,7.0524,2.0,0.204008,39.338390,114.801381,0.480443,0.470520,0.471484,0.280925,196.570323
23.6079,7.0824,2.0,0.204105,39.496982,115.783788,0.480028,0.471073,0.472175,0.280579,196.556497
23.7079,7.1124,2.0,0.204308,39.829619,117.859335,0.479158,0.472233,0.473625,0.279854,196.527496
23.8079,7.1424,2.0,0.204423,40.018194,119.045016,0.478665,0.472891,0.474447,0.279443,196.511055
23.9080,7.1724,2.0,0.204582,40.278559,120.692849,0.477984,0.473799,0.475582,0.278876,196.488356
24.0080,7.2024,2.0,0.204714,40.495056,122.072570,0.477418,0.474554,0.476526,0.278404,196.469481
24.1080,7.2324,2.0,0.204880,40.768204,123.825686,0.476703,0.475507,0.477717,0.277808,196.445667
24.2081,7.2624,2.0,0.204972,40.919197,124.800716,0.476308,0.476033,0.478375,0.277479,196.432502
24.3081,7.2924,2.0,0.205124,41.168044,126.416858,0.475658,0.476901,0.479460,0.276937,196.410807
24.4081,7.3224,2.0,0.205377,41.582316,129.132877,0.474574,0.478346,0.481266,0.276034,196.374689
24.5082,7.3525,2.0,0.205416,41.646082,129.553774,0.474407,0.478568,0.481544,0.275895,196.369130
24.6082,7.3825,2.0,0.205565,41.890355,131.173137,0.473768,0.479420,0.482608,0.275362,196.347833
24.7082,7.4125,2.0,0.205798,42.271919,133.724954,0.472770,0.480751,0.484272,0.274531,196.314567
24.8083,7.4425,2.0,0.205974,42.560344,135.671956,0.472016,0.481757,0.485529,0.273902,196.289421
24.9083,7.4725,2.0,0.205993,42.591665,135.884327,0.471934,0.481866,0.485665,0.273834,196.286690
25.0083,7.5025,2.0,0.206161,42.867118,137.759949,0.471214,0.482826,0.486866,0.273234,196.262675
25.1084,7.5325,2.0,0.206327,43.138027,139.618545,0.470505,0.483771,0.488047,0.272643,196.239056
25.2084,7.5625,2.0,0.206513,43.442934,141.726921,0.469708,0.484834,0.489376,0.271978,196.212473
25.3084,7.5925,2.0,0.206574,43.542835,142.421533,0.469446,0.485183,0.489812,0.271761,196.203763
25.4085,7.6225,2.0,0.206740,43.815721,144.328516,0.468732,0.486134,0.491001,0.271166,196.179972
