time,stage_id,ambient_temp_C_profile,enable,i_load_A_profile,temp_ref_C,temp_cell_C,pump_cmd,soc,v_term_V
404.42,stage1,25.0,True,120.0,35.0,27.369809286307344,6.019631550433395e-178,0.85,359.6586
404.43,stage1,25.0,True,120.0,35.0,27.369765535982058,5.959435234929115e-178,0.85,359.6586
404.44,stage1,25.0,True,120.0,35.0,27.36972178646447,5.899840882579879e-178,0.85,359.6586
404.45,stage1,25.0,True,120.0,35.0,27.369678037754568,5.840842473754134e-178,0.85,359.6586
404.46,stage1,25.0,True,120.0,35.0,27.369634289852332,5.782434049016645e-178,0.85,359.6586
404.47,stage1,25.0,True,120.0,35.0,27.36959054275775,5.724609708526203e-178,0.85,359.6586
404.48,stage1,25.0,True,120.0,35.0,27.369546796470804,5.667363611440993e-178,0.85,359.6586
404.49,stage1,25.0,True,120.0,35.0,27.369503050991483,5.610689975326635e-178,0.85,359.6586
404.5,stage1,25.0,True,120.0,35.0,27.369459306319772,5.55458307557342e-178,0.85,359.6586
404.51,stage1,25.0,True,120.0,35.0,27.369415562455657,5.499037244817736e-178,0.85,359.6586
404.52,stage1,25.0,True,120.0,35.0,27.36937181939912,5.444046872369608e-178,0.85,359.6586
404.53,stage1,25.0,True,120.0,35.0,27.369328077150147,5.389606403645962e-178,0.85,359.6586
404.54,stage1,25.0,True,120.0,35.0,27.369284335708723,5.335710339609245e-178,0.85,359.6586
404.55,stage1,25.0,True,120.0,35.0,27.369240595074835,5.2823532362132e-178,0.85,359.6586
404.56,stage1,25.0,True,120.0,35.0,27.369196855248465,5.229529703851117e-178,0.85,359.6586
404.57,stage1,25.0,True,120.0,35.0,27.369153116229597,5.177234406812653e-178,0.85,359.6586
404.58,stage1,25.0,True,120.0,35.0,27.36910937801822,5.125462062744574e-178,0.85,359.6586
404.59,stage1,25.0,True,120.0,35.0,27.369065640614316,5.074207442117175e-178,0.85,359.6586
404.6,stage1,25.0,True,120.0,35.0,27.369021904017874,5.023465367695761e-178,0.85,359.6586
404.61,stage1,25.0,True,120.0,35.0,27.368978168228878,4.973230714018849e-178,0.85,359.6586
404.62,stage1,25.0,True,120.0,35.0,27.36893443324731,4.923498406878706e-178,0.85,359.6586
404.63,stage1,25.0,True,120.0,35.0,27.36889069907316,4.8742634228099635e-178,0.85,359.6586
404.64,stage1,25.0,True,120.0,35.0,27.368846965706407,4.825520788581908e-178,0.85,359.6586
404.65,stage1,25.0,True,120.0,35.0,27.36880323314704,4.777265580696133e-178,0.85,359.6586
404.66,stage1,25.0,True,120.0,35.0,27.368759501395044,4.729492924888944e-178,0.85,359.6586
404.67,stage1,25.0,True,120.0,35.0,27.368715770450404,4.6821979956400973e-178,0.85,359.6586
404.68,stage1,25.0,True,120.0,35.0,27.368672040313104,4.635376015683739e-178,0.85,359.6586
404.69,stage1,25.0,True,120.0,35.0,27.36862831098313,4.5890222555269435e-178,0.85,359.6586
404.7,stage1,25.0,True,120.0,35.0,27.368584582460464,4.543132032971716e-178,0.85,359.6586
404.71,stage1,25.0,True,120.0,35.0,27.368540854745095,4.49770071264204e-178,0.85,359.6586
404.72,stage1,25.0,True,120.0,35.0,27.368497127837006,4.452723705515405e-178,0.85,359.6586
404.73,stage1,25.0,True,120.0,35.0,27.368453401736186,4.4081964684602916e-178,0.85,359.6586
404.74,stage1,25.0,True,120.0,35.0,27.368409676442617,4.3641145037757286e-178,0.85,359.6586
404.75,stage1,25.0,True,120.0,35.0,27.36836595195628,4.320473358738011e-178,0.85,359.6586
404.76,stage1,25.0,True,120.0,35.0,27.36832222827717,4.27726862515067e-178,0.85,359.6586
404.77,stage1,25.0,True,120.0,35.0,27.36827850540526,4.234495938899202e-178,0.85,359.6586
404.78,stage1,25.0,True,120.0,35.0,27.368234783340547,4.192150979510248e-178,0.85,359.6586
404.79,stage1,25.0,True,120.0,35.0,27.36819106208301,4.1502294697149457e-178,0.85,359.6586
404.8,stage1,25.0,True,120.0,35.0,27.368147341632632,4.108727175017834e-178,0.85,359.6586
404.81,stage1,25.0,True,120.0,35.0,27.368103621989402,4.067639903267693e-178,0.85,359.6586
404.82,stage1,25.0,True,120.0,35.0,27.368059903153302,4.026963504235053e-178,0.85,359.6586
404.83,stage1,25.0,True,120.0,35.0,27.368016185124322,3.986693869192739e-178,0.85,359.6586
404.84,stage1,25.0,True,120.0,35.0,27.367972467902444,3.946826930500848e-178,0.85,359.6586
404.85,stage1,25.0,True,120.0,35.0,27.36792875148765,3.907358661195651e-178,0.85,359.6586
404.86,stage1,25.0,True,120.0,35.0,27.36788503587993,3.86828507458373e-178,0.85,359.6586
404.87,stage1,25.0,True,120.0,35.0,27.36784132107927,3.829602223837928e-178,0.85,359.6586
404.88,stage1,25.0,True,120.0,35.0,27.36779760708565,3.7913062015995835e-178,0.85,359.6586
404.89,stage1,25.0,True,120.0,35.0,27.367753893899057,3.753393139583622e-178,0.85,359.6586
404.9,stage1,25.0,True,120.0,35.0,27.367710181519477,3.7158592081878197e-178,0.85,359.6586
404.91,stage1,25.0,True,120.0,35.0,27.367666469946894,3.678700616105764e-178,0.85,359.6586
404.92,stage1,25.0,True,120.0,35.0,27.367622759181295,3.64191360994474e-178,0.85,359.6586
404.93,stage1,25.0,True,120.0,35.0,27.367579049222662,3.605494473845326e-178,0.85,359.6586
404.94,stage1,25.0,True,120.0,35.0,27.367535340070983,3.5694395291069055e-178,0.85,359.6586
404.95,stage1,25.0,True,120.0,35.0,27.367491631726242,3.533745133815869e-178,0.85,359.6586
404.96,stage1,25.0,True,120.0,35.0,27.367447924188426,3.498407682477742e-178,0.85,359.6586
404.97,stage1,25.0,True,120.0,35.0,27.367404217457516,3.4634236056527976e-178,0.85,359.6586
404.98,stage1,25.0,True,120.0,35.0,27.3673605115335,3.428789369596301e-178,0.85,359.6586
404.99,stage1,25.0,True,120.0,35.0,27.367316806416365,3.394501475900369e-178,0.85,359.6586
405.0,stage1,25.0,True,120.0,35.0,27.367273102106093,3.360556461141396e-178,0.85,359.6586
405.01,stage1,25.0,True,120.0,35.0,27.36722939860267,3.326950896530013e-178,0.85,359.6586
405.02,stage1,25.0,True,120.0,35.0,27.36718569590608,3.293681387564743e-178,0.85,359.6586
405.03,stage1,25.0,True,120.0,35.0,27.36714199401631,3.2607445736891254e-178,0.85,359.6586
405.04,stage1,25.0,True,120.0,35.0,27.367098292933346,3.2281371279520784e-178,0.85,359.6586
405.05,stage1,25.0,True,120.0,35.0,27.36705459265717,3.195855756672587e-178,0.85,359.6586
405.06,stage1,25.0,True,120.0,35.0,27.367010893187768,3.16389719910589e-178,0.85,359.6586
405.07,stage1,25.0,True,120.0,35.0,27.366967194525124,3.1322582271148597e-178,0.85,359.6586
405.08,stage1,25.0,True,120.0,35.0,27.366923496669227,3.100935644843739e-178,0.85,359.6586
405.09,stage1,25.0,True,120.0,35.0,27.366879799620058,3.06992628839533e-178,0.85,359.6586
405.1,stage1,25.0,True,120.0,35.0,27.366836103377604,3.03922702551123e-178,0.85,359.6586
405.11,stage1,25.0,True,120.0,35.0,27.36679240794185,3.008834755256145e-178,0.85,359.6586
405.12,stage1,25.0,True,120.0,35.0,27.36674871331278,2.978746407703611e-178,0.85,359.6586
405.13,stage1,25.0,True,120.0,35.0,27.366705019490382,2.948958943626602e-178,0.85,359.6586
405.14,stage1,25.0,True,120.0,35.0,27.366661326474638,2.919469354190363e-178,0.85,359.6586
405.15,stage1,25.0,True,120.0,35.0,27.366617634265534,2.8902746606484856e-178,0.85,359.6586
405.16,stage1,25.0,True,120.0,35.0,27.366573942863056,2.861371914041863e-178,0.85,359.6586
405.17,stage1,25.0,True,120.0,35.0,27.36653025226719,2.8327581949014705e-178,0.85,359.6586
405.18,stage1,25.0,True,120.0,35.0,27.366486562477917,2.804430612952482e-178,0.85,359.6586
405.19,stage1,25.0,True,120.0,35.0,27.366442873495224,2.776386306822983e-178,0.85,359.6586
405.2,stage1,25.0,True,120.0,35.0,27.366399185319096,2.748622443754778e-178,0.85,359.6586
405.21,stage1,25.0,True,120.0,35.0,27.36635549794952,2.7211362193172556e-178,0.85,359.6586
405.22,stage1,25.0,True,120.0,35.0,27.36631181138648,2.693924857123953e-178,0.85,359.6586
405.23,stage1,25.0,True,120.0,35.0,27.366268125629965,2.666985608552738e-178,0.85,359.6586
405.24,stage1,25.0,True,120.0,35.0,27.366224440679954,2.640315752467235e-178,0.85,359.6586
