time,stage_id,disturbance_N_profile,theta_ref_rad,x_ref_m_profile,theta_rad,x_m,force_cmd_N
0.74,stage1,0.0,0.0,0.0,1.7720300419848813,-2.815471037300303,12.75230512996741
0.75,stage1,0.0,0.0,0.0,1.7537828014017955,-2.8733490593488438,13.20184410397393
0.76,stage1,0.0,0.0,0.0,1.7338900307839629,-2.9300452829386088,13.561475283179144
0.77,stage1,0.0,0.0,0.0,1.7122953717788865,-2.9855295688498567,13.849180226543316
0.78,stage1,0.0,0.0,0.0,1.688934531186602,-3.039775604920799,14.079344181234653
0.79,stage1,0.0,0.0,0.0,1.6637357162802937,-3.092759785191114,14.263475344987722
0.8,stage1,0.0,0.0,0.0,1.6366199014807685,-3.1444602720175108,14.410780275990177
0.81,stage1,0.0,0.0,0.0,1.6075009480126574,-3.1948562017527875,14.528624220792143
0.82,stage1,0.0,0.0,0.0,1.5762855931150754,-3.2439270026648397,14.622899376633713
0.83,stage1,0.0,0.0,0.0,1.5428733213754862,-3.291651800476221,14.69831950130697
0.84,stage1,0.0,0.0,0.0,1.5071561279449677,-3.3380088925887437,14.758655601045577
0.85,stage1,0.0,0.0,0.0,1.4690181820133854,-3.38297527705004,14.80692448083646
0.86,stage1,0.0,0.0,0.0,1.4283353993623882,-3.4265262269390426,14.845539584669169
0.87,stage1,0.0,0.0,0.0,1.3849749356812022,-3.468634905428924,14.876431667735336
0.88,stage1,0.0,0.0,0.0,1.3387946185459885,-3.509272021706254,14.901145334188268
0.89,stage1,0.0,0.0,0.0,1.2896423468834313,-3.548405533637706,14.920916267350615
0.9,stage1,0.0,0.0,0.0,1.2373555043090636,-3.586000410149396,14.936733013880492
0.91,stage1,0.0,0.0,0.0,1.1817604596706992,-3.622018475443225,14.949386411104394
0.92,stage1,0.0,0.0,0.0,1.1226722681109855,-3.6564183693313725,14.959509128883514
0.93,stage1,0.0,0.0,0.0,1.0598947437019526,-3.6891556742224787,14.967607303106812
0.94,stage1,0.0,0.0,0.0,0.9932211557263227,-3.720183280835593,14.974085842485449
0.95,stage1,0.0,0.0,0.0,0.922435910367372,-3.7494520925557504,14.97926867398836
0.96,stage1,0.0,0.0,0.0,0.8473177206341097,-3.7769122026143993,14.983414939190688
0.97,stage1,0.0,0.0,0.0,0.767644934363539,-3.802514716853468,14.98673195135255
0.98,stage1,0.0,0.0,0.0,0.68320385915146,-3.8262144307824992,14.98938556108204
0.99,stage1,0.0,0.0,0.0,0.5938010344305328,-3.847973587164598,14.991508448865632
1.0,stage1,0.0,0.0,0.0,0.4992803363171423,-3.867766909558837,14.993206759092505
