"time","x_m","theta_rad","theta_hat_rad","bias_hat_rps","force_cmd_N","mode"
5.95,0.5966602484801357,-76.00511031844601,-75.10834919401451,-0.9389201386355462,15.0,0.0
5.96,0.5967115584538097,-76.17262373385859,-75.28679731204166,-0.9413201386355464,15.0,0.0
5.97,0.5958381457814786,-76.34013845228014,-75.46293420817162,-0.9437201386355466,15.0,0.0
5.98,0.5940095374869848,-76.50822138862783,-75.63786026367379,-0.9461201386355468,15.0,0.0
5.99,0.5911495170760205,-76.67737966771946,-75.81166904062705,-0.948520138635547,15.0,0.0
6.0,0.5872045848887874,-76.84817289717567,-75.98454239704316,-0.9509201386355471,15.0,0.0
6.01,0.5821489985137493,-77.02117524038145,-76.1575052028809,-0.9533201386355473,15.0,0.0
6.02,0.5759923947216083,-77.19692207572334,-76.33028872418821,-0.9557201386355475,15.0,0.0
6.03,0.5687920865434049,-77.37583617269269,-76.50401025894303,-0.9581201386355477,15.0,0.0
6.04,0.5606714033096236,-77.55812580804367,-76.67900544901212,-0.9605201386355479,15.0,0.0
6.05,0.551843880743324,-77.74365131417802,-76.85532044495848,-0.962920138635548,15.0,0.0
6.06,0.5426338576177228,-77.93178517803032,-77.03420920591917,-0.9653201386355482,-15.0,0.0
6.07,0.5330468864151344,-78.12231420458255,-77.21471842691138,-0.9677201386355484,-15.0,0.0
6.08,0.5226050264869556,-78.31606094191751,-77.39741073503929,-0.9701201386355486,-15.0,0.0
6.09,0.5111584674770334,-78.51307055803095,-77.58250995849184,-0.9725201386355488,-15.0,0.0
6.1,0.4989000770842669,-78.71238625238833,-77.76996007672551,-0.9749201386355489,-15.0,0.0
6.11,0.48622256526681984,-78.91242119839744,-77.959336467107,-0.9773201386355491,-15.0,0.0
6.12,0.47347328683083395,-79.11173499274807,-78.15072783112099,-0.9797201386355493,-15.0,0.0
6.13,0.46095973769997695,-79.3091357122153,-78.34315610092779,-0.9821201386355495,15.0,1.0
6.14,0.449268355676302,-79.50317544501762,-78.53665419464004,-0.9845201386355497,15.0,1.0
6.15,0.4394553816614893,-79.69216754913225,-78.72970997258625,-0.9869201386355498,15.0,1.0
6.16,0.4322243754287196,-79.87585600688104,-78.92137846866694,-0.98932013863555,15.0,1.0
6.17,0.42796948186942774,-80.05499534125858,-79.1114685660436,-0.9917201386355502,-15.0,0.0
6.18,0.42651081288093,-80.23088803752225,-79.29906390316785,-0.9941201386355504,-15.0,0.0
6.19,0.42697052793608775,-80.40460213515004,-79.48443306471515,-0.9965201386355506,-15.0,0.0
6.2,0.4284816341275589,-80.57649824895424,-79.66766744655388,-0.9989201386355507,-15.0,0.0
6.21,0.43048124162199297,-80.74654695064032,-79.84836500599238,-1.0013201386355508,-15.0,0.0
6.22,0.43247604642739573,-80.9144044596613,-80.02694296276522,-1.003720138635551,-15.0,0.0
6.23,0.4340306963697035,-81.07953621576574,-80.20353834288164,-1.0061201386355512,15.0,0.0
6.24,0.43533818900968924,-81.24261963118123,-80.37777538406809,-1.0085201386355513,15.0,0.0
6.25,0.4370385231569991,-81.405509055601,-80.55032747169625,-1.0109201386355515,15.0,0.0
6.26,0.4395532767382476,-81.5697464947738,-80.72051708227481,-1.0133201386355517,15.0,0.0
6.27,0.4430956244053916,-81.73639589028191,-80.889868258987,-1.0157201386355519,15.0,0.0
6.28,0.4477023523891277,-81.90601506182702,-81.05910760773095,-1.018120138635552,15.0,0.0
6.29,0.45326917694814123,-82.07871537148775,-81.22874962084272,-1.0205201386355522,15.0,0.0
6.3,0.4595929398605624,-82.25429890453516,-81.39916708736448,-1.0229201386355524,15.0,0.0
6.31,0.46641674880054657,-82.43243348631212,-81.57075201118752,-1.0253201386355526,15.0,0.0
6.32,0.47347021367501335,-82.6128121360748,-81.74359087791532,-1.0277201386355528,15.0,0.0
6.33,0.48049876155527593,-82.79525822209332,-81.91822595611612,-1.030120138635553,15.0,0.0
6.34,0.48728111255057033,-82.97976651111529,-82.09438425018605,-1.0325201386355531,15.0,0.0
6.35,0.49363830931632974,-83.16649141511957,-82.27214528231053,-1.0349201386355533,15.0,0.0
6.36,0.499439398963042,-83.35569831397511,-82.45210047844888,-1.0373201386355535,15.0,0.0
6.37,0.5046019482042448,-83.5476905342824,-82.63392055211807,-1.0397201386355537,15.0,0.0
6.38,0.509062300599923,-83.74274561041082,-82.81776519487784,-1.0421201386355539,15.0,0.0
6.39,0.512826830611215,-83.94100190972149,-83.00343227527515,-1.044520138635554,15.0,0.0
6.4,0.516020444588549,-84.14227168916912,-83.19211732142358,-1.0469201386355542,15.0,0.0
6.41,0.5188639886925436,-84.34595722206966,-83.3832100209679,-1.0493201386355544,-15.0,0.0
6.42,0.5210450101326232,-84.55250026372813,-83.57699436475835,-1.0517201386355546,-15.0,0.0
6.43,0.5220740996230333,-84.76278103935981,-83.77319780858964,-1.0541201386355548,-15.0,0.0
6.44,0.5219388059717799,-84.97639943606188,-83.97225390664428,-1.056520138635555,-15.0,0.0
6.45,0.5211296665516806,-85.19147407660638,-84.17420908933214,-1.0589201386355551,-15.0,0.0
6.46,0.5200746068025995,-85.40628708868766,-84.37872172673045,-1.0613201386355553,-15.0,0.0
6.47,0.5191777481458949,-85.61935141485165,-84.58465403935075,-1.0637201386355555,-15.0,0.0
6.48,0.5189450597479557,-85.82934352012657,-84.79177993089546,-1.0661201386355557,15.0,1.0
6.49,0.5202218116069242,-86.03494438590779,-84.99910896266421,-1.0685201386355558,15.0,1.0
6.5,0.5236830132400706,-86.2359574384372,-85.20594452345424,-1.070920138635556,15.0,1.0
6.51,0.5297129010601411,-86.43316102349259,-85.41108722110266,-1.0733201386355562,-15.0,0.0
6.52,0.5379867382422596,-86.6277657183508,-85.61462082946241,-1.0757201386355564,-15.0,0.0
6.53,0.5475828228697547,-86.82047053326976,-85.81630622136383,-1.0781201386355566,-15.0,0.0
6.54,0.5576475551743347,-87.0111841012088,-86.01617769491396,-1.0805201386355567,-15.0,0.0
6.55,0.5673715234359791,-87.19914020219478,-86.21440337243924,-1.082920138635557,-15.0,0.0
6.56,0.5759565127781928,-87.38300954950432,-86.41025511545828,-1.085320138635557,-15.0,0.0
6.57,0.5828442209691962,-87.56160469577404,-86.60345807092285,-1.0877201386355573,15.0,0.0
6.58,0.5883233400708633,-87.73566699285692,-86.79346640125257,-1.0901201386355575,15.0,0.0
6.59,0.5927101220800234,-87.90623235245097,-86.98047545378093,-1.0925201386355576,15.0,0.0
6.6,0.5961585314531014,-88.07407582371341,-87.16435339964657,-1.0949201386355578,15.0,0.0
6.61,0.5987109256376256,-88.23975824988649,-87.34504560871372,-1.097320138635558,15.0,0.0
6.62,0.6003408681290405,-88.40371310532353,-87.52258338105355,-1.0997201386355582,15.0,0.0
6.63,0.6009878054932203,-88.56633754578444,-87.69769278266497,-1.1021201386355584,15.0,0.0
6.64,0.6006919993202908,-88.72829651979872,-87.87010330981886,-1.1045201386355585,15.0,0.0
6.65,0.5995796630959539,-88.89044098056999,-88.04118435685984,-1.1069201386355587,15.0,0.0
6.66,0.5975796084843757,-89.05320804423289,-88.21052623267619,-1.109320138635559,15.0,0.0
6.67,0.5946224772593123,-89.21706883015975,-88.37869717442076,-1.111720138635559,15.0,0.0
6.68,0.590658159769642,-89.38253896598833,-88.54596619845024,-1.1141201386355593,15.0,0.0
6.69,0.585660404996771,-89.55014791331054,-88.71291961268511,-1.1165201386355594,15.0,0.0
6.7,0.5796334170275728,-89.72039504301995,-88.88066770875045,-1.1189201386355596,15.0,0.0
6.71,0.5726221815426015,-89.8936885567085,-89.04939382390572,-1.1213201386355598,15.0,0.0
6.72,0.5647278113307719,-90.07026094536806,-89.21919716220289,-1.12372013863556,15.0,0.0
6.73,0.5561281443391181,-90.25005665497062,-89.39000849600754,-1.1261201386355602,15.0,0.0
6.74,0.5471012517357251,-90.43259859418032,-89.56248753074397,-1.1285201386355603,-15.0,0.0
6.75,0.5377554371917878,-90.61750476035525,-89.73745812742926,-1.1309201386355605,-15.0,0.0
6.76,0.5275764056983779,-90.8056771919311,-89.9145106105398,-1.1333201386355607,-15.0,0.0
6.77,0.5162849468710892,-90.99752800816611,-90.09395389883906,-1.1357201386355609,-15.0,0.0
6.78,0.5039612249248467,-91.19247186616532,-90.27572600748783,-1.138120138635561,-15.0,0.0
6.79,0.4909532659136116,-91.38908102235933,-90.46023585408835,-1.1405201386355612,-15.0,0.0
6.8,0.47764072652273365,-91.58580228993124,-90.64701185520451,-1.1429201386355614,-15.0,0.0
6.81,0.4643446777589999,-91.7813226112564,-90.8354330834031,-1.1453201386355616,-15.0,0.0
6.82,0.4514499581101524,-91.97440870013168,-91.02451054468236,-1.1477201386355618,15.0,1.0
6.83,0.4399479551149758,-92.16310224158666,-91.21440114260818,-1.150120138635562,15.0,1.0
6.84,0.43072294033618785,-92.34644851813093,-91.40367701816028,-1.1525201386355621,15.0,1.0
6.85,0.4242877386915841,-92.52476687057737,-91.59147788250594,-1.1549201386355623,15.0,1.0
6.86,0.42078694844171033,-92.69911908077742,-91.77728153398986,-1.1573201386355625,-15.0,0.0
6.87,0.419562539997169,-92.87079112505805,-91.96039300785105,-1.1597201386355627,-15.0,0.0
6.88,0.4198131886206283,-93.04049308784789,-92.14169100860288,-1.1621201386355628,-15.0,0.0
6.89,0.4207520554990223,-93.2082947009843,-92.3203726328212,-1.164520138635563,-15.0,0.0
6.9,0.4218655879616833,-93.3739947777944,-92.49692546384613,-1.1669201386355632,-15.0,0.0
6.91,0.4227006622884042,-93.5371410159649,-92.6709641945635,-1.1693201386355634,-15.0,0.0
6.92,0.42299429930395177,-93.69744316844586,-92.84287479293796,-1.1717201386355636,15.0,0.0
6.93,0.42330748044599126,-93.8563976656587,-93.01276370745207,-1.1741201386355637,15.0,0.0
6.94,0.4242041854707846,-94.01576185456501,-93.18096074556951,-1.176520138635564,15.0,0.0
6.95,0.4260374209873947,-94.17693016863309,-93.34756755763436,-1.178920138635564,15.0,0.0
6.96,0.428974308691945,-94.34083474672514,-93.5132390196411,-1.1813201386355643,15.0,0.0
6.97,0.4330192295048382,-94.50792187134905,-93.67923164783954,-1.1837201386355645,15.0,0.0
6.98,0.43804819946956397,-94.67822519480558,-93.84511770583839,-1.1861201386355646,15.0,0.0
6.99,0.44384947572550704,-94.8515055521974,-94.01246516670398,-1.1885201386355648,15.0,0.0
7.0,0.4501659098702631,-95.0274178348211,-94.18089223907275,-1.190920138635565,15.0,0.0
7.01,0.456731817498325,-95.20565668716823,-94.35094192783646,-1.1933201386355652,15.0,0.0
7.02,0.4632993809670937,-95.38604882534673,-94.52266321458505,-1.1957201386355654,15.0,0.0
7.03,0.4696542969980857,-95.56858588917095,-94.69642197286083,-1.1981201386355655,15.0,0.0
7.04,0.4756240557850574,-95.75340919376166,-94.87200606402389,-1.2005201386355657,15.0,0.0
7.05,0.48108357821458997,-95.9407605047149,-95.04891451823836,-1.202920138635566,15.0,0.0
7.06,0.4859626220643342,-96.1309062377322,-95.22818718260197,-1.205320138635566,15.0,0.0
7.07,0.4902583642837123,-96.32403399342698,-95.40980910849278,-1.2077201386355663,15.0,0.0
7.08,0.49405499335591163,-96.52011661101355,-95.59394892807848,-1.2101201386355664,15.0,0.0
7.09,0.49754903405487266,-96.71874705375572,-95.78009301228455,-1.2125201386355666,15.0,0.0
7.1,0.5009963705917139,-96.91915089290349,-95.96900376194388,-1.2149201386355668,-15.0,0.0
7.11,0.5040353515869231,-97.12179751271664,-96.15982686544766,-1.217320138635567,-15.0,0.0
7.12,0.5061731515542708,-97.32752948100612,-96.3535588792644,-1.2197201386355672,-15.0,0.0
7.13,0.507293317222225,-97.5362099622299,-96.5494406118712,-1.2221201386355673,-15.0,0.0
7.14,0.507587188596444,-97.74677001558871,-96.74792876566023,-1.2245201386355675,-15.0,0.0
7.15,0.5075326429416078,-97.95736186588115,-96.94875716751085,-1.2269201386355677,-15.0,0.0
7.16,0.5075718955849111,-98.16637719417523,-97.15122632229023,-1.2293201386355679,-15.0,0.0
7.17,0.5080838815338229,-98.37270079227426,-97.35448359907787,-1.231720138635568,15.0,1.0
7.18,0.5100591383135535,-98.57467779724637,-97.55828252462204,-1.2341201386355682,15.0,1.0
7.19,0.5142581486641626,-98.77190640865868,-97.76127939648414,-1.2365201386355684,15.0,1.0
7.2,0.5210655979788678,-98.96511598394308,-97.96274388092858,-1.2389201386355686,-15.0,0.0
7.21,0.5302287082708025,-99.15552247951435,-98.1623813702508,-1.2413201386355688,-15.0,0.0
7.22,0.5408221825316695,-99.34392609815784,-98.36008692172933,-1.243720138635569,-15.0,0.0
7.23,0.5519796209974002,-99.53033787606267,-98.55611590744073,-1.2461201386355691,-15.0,0.0
7.24,0.5628941050470798,-99.7140989100608,-98.7503662270075,-1.2485201386355693,-15.0,0.0
7.25,0.5727791478240656,-99.89399073645286,-98.94219478182784,-1.2509201386355695,-15.0,0.0
7.26,0.5810279668684454,-100.0687622809482,-99.13161632564267,-1.2533201386355697,15.0,0.0
7.27,0.5878755076070269,-100.23897742500515,-99.31787372589147,-1.2557201386355699,15.0,0.0
7.28,0.5936579171170875,-100.4056576164188,-99.5003874121599,-1.25812013863557,15.0,0.0
7.29,0.5985403986478923,-100.56956203662345,-99.6800304387698,-1.2605201386355702,15.0,0.0
7.3,0.602568518107792,-100.73122157357878,-99.85672555650773,-1.2629201386355704,15.0,0.0
7.31,0.6057118070651087,-100.8910199631739,-100.03069689104923,-1.2653201386355706,15.0,0.0
7.32,0.6078996319614691,-101.04928672096462,-100.20164845777806,-1.2677201386355708,15.0,0.0
7.33,0.6090478259921325,-101.20637307489869,-100.37021593385958,-1.270120138635571,15.0,0.0
7.34,0.6091072242591341,-101.36275821172964,-100.53651631941872,-1.2725201386355711,15.0,0.0
7.35,0.6082341580336986,-101.51934209902129,-100.70107441961731,-1.2749201386355713,15.0,0.0
7.36,0.6064153421819358,-101.67668051447039,-100.86422362904032,-1.2773201386355715,15.0,0.0
7.37,0.6035892786224891,-101.83525626407652,-101.02627848268617,-1.2797201386355717,15.0,0.0
7.38,0.5997135699885767,-101.99558667052042,-101.18795980420249,-1.2821201386355718,15.0,0.0
7.39,0.5947689359587689,-102.15819230322276,-101.34961457682361,-1.284520138635572,15.0,0.0
7.4,0.5887655100633195,-102.32355424806796,-101.51183131266143,-1.2869201386355722,15.0,0.0
7.41,0.5817528643505111,-102.49205554373944,-101.67487672711059,-1.2893201386355724,15.0,0.0
