time,stage_id,ambient_temp_C_profile,enable,i_load_A_profile,temp_ref_C,temp_cell_C,pump_cmd,soc,v_term_V
0.41,stage1,25.0,True,40.0,35.0,29.996216781676527,0.13245640819679677,0.85,359.6586
0.42,stage1,25.0,True,40.0,35.0,29.996124543828248,0.1311318441148288,0.85,359.6586
0.43,stage1,25.0,True,40.0,35.0,29.996032307682825,0.12982052567368052,0.85,359.6586
0.44,stage1,25.0,True,40.0,35.0,29.99594007324022,0.12852232041694372,0.85,359.6586
0.45,stage1,25.0,True,40.0,35.0,29.995847840500407,0.1272370972127743,0.85,359.6586
0.46,stage1,25.0,True,40.0,35.0,29.99575560946335,0.12596472624064656,0.85,359.6586
0.47,stage1,25.0,True,40.0,35.0,29.995663380129024,0.1247050789782401,0.85,359.6586
0.48,stage1,25.0,True,40.0,35.0,29.99557115249739,0.12345802818845769,0.85,359.6586
0.49,stage1,25.0,True,40.0,35.0,29.99547892656842,0.12222344790657311,0.85,359.6586
0.5,stage1,25.0,True,40.0,35.0,29.995386702342085,0.12100121342750737,0.85,359.6586
0.51,stage1,25.0,True,40.0,35.0,29.995294479818348,0.1197912012932323,0.85,359.6586
0.52,stage1,25.0,True,40.0,35.0,29.995202258997182,0.11859328928029998,0.85,359.6586
0.53,stage1,25.0,True,40.0,35.0,29.995110039878554,0.11740735638749698,0.85,359.6586
0.54,stage1,25.0,True,40.0,35.0,29.995017822462433,0.11623328282362201,0.85,359.6586
0.55,stage1,25.0,True,40.0,35.0,29.994925606748787,0.1150709499953858,0.85,359.6586
0.56,stage1,25.0,True,40.0,35.0,29.994833392737586,0.11392024049543194,0.85,359.6586
0.57,stage1,25.0,True,40.0,35.0,29.994741180428797,0.11278103809047763,0.85,359.6586
0.58,stage1,25.0,True,40.0,35.0,29.99464896982239,0.11165322770957285,0.85,359.6586
0.59,stage1,25.0,True,40.0,35.0,29.994556760918332,0.11053669543247713,0.85,359.6586
0.6,stage1,25.0,True,40.0,35.0,29.994464553716593,0.10943132847815236,0.85,359.6586
0.61,stage1,25.0,True,40.0,35.0,29.99437234821714,0.10833701519337083,0.85,359.6586
0.62,stage1,25.0,True,40.0,35.0,29.994280144419943,0.10725364504143711,0.85,359.6586
0.63,stage1,25.0,True,40.0,35.0,29.99418794232497,0.10618110859102274,0.85,359.6586
0.64,stage1,25.0,True,40.0,35.0,29.99409574193219,0.10511929750511251,0.85,359.6586
0.65,stage1,25.0,True,40.0,35.0,29.99400354324157,0.10406810453006138,0.85,359.6586
0.66,stage1,25.0,True,40.0,35.0,29.99391134625308,0.10302742348476077,0.85,359.6586
0.67,stage1,25.0,True,40.0,35.0,29.993819150966686,0.10199714924991315,0.85,359.6586
0.68,stage1,25.0,True,40.0,35.0,29.99372695738236,0.10097717775741402,0.85,359.6586
0.69,stage1,25.0,True,40.0,35.0,29.99363476550007,0.09996740597983989,0.85,359.6586
0.7,stage1,25.0,True,40.0,35.0,29.993542575319783,0.09896773192004149,0.85,359.6586
0.71,stage1,25.0,True,40.0,35.0,29.99345038684147,0.09797805460084108,0.85,359.6586
0.72,stage1,25.0,True,40.0,35.0,29.9933582000651,0.09699827405483266,0.85,359.6586
0.73,stage1,25.0,True,40.0,35.0,29.99326601499064,0.09602829131428434,0.85,359.6586
0.74,stage1,25.0,True,40.0,35.0,29.993173831618055,0.09506800840114149,0.85,359.6586
0.75,stage1,25.0,True,40.0,35.0,29.993081649947317,0.09411732831713007,0.85,359.6586
0.76,stage1,25.0,True,40.0,35.0,29.992989469978394,0.09317615503395878,0.85,359.6586
0.77,stage1,25.0,True,40.0,35.0,29.992897291711255,0.0922443934836192,0.85,359.6586
0.78,stage1,25.0,True,40.0,35.0,29.99280511514587,0.091321949548783,0.85,359.6586
0.79,stage1,25.0,True,40.0,35.0,29.992712940282207,0.09040873005329518,0.85,359.6586
0.8,stage1,25.0,True,40.0,35.0,29.992620767120233,0.08950464275276222,0.85,359.6586
0.81,stage1,25.0,True,40.0,35.0,29.992528595659916,0.0886095963252346,0.85,359.6586
0.82,stage1,25.0,True,40.0,35.0,29.99243642590123,0.08772350036198226,0.85,359.6586
