time,stage_id,enable,load_force_N_profile,x_ref_m_profile,x_m,valve_cmd,spool_u,pA_Pa,pB_Pa
1.22,stage1,True,0.0,0.05,-7.61451897658496e+28,-1.0,0.249999999999988,100000.0,21000000.0
1.23,stage1,True,0.0,0.05,1.3912818588516722e+29,1.0,0.49999999999998823,21000000.0,100000.0
1.24,stage1,True,0.0,0.05,-2.5420715566170826e+29,-1.0,0.249999999999988,100000.0,21000000.0
1.25,stage1,True,0.0,0.05,4.644729432679632e+29,1.0,0.49999999999998823,21000000.0,100000.0
1.26,stage1,True,0.0,0.05,-8.486587030425647e+29,-1.0,0.249999999999988,100000.0,21000000.0
1.27,stage1,True,0.0,0.05,1.5506212034279438e+30,1.0,0.49999999999998823,21000000.0,100000.0
1.28,stage1,True,0.0,0.05,-2.8332073988048526e+30,-1.0,0.249999999999988,100000.0,21000000.0
1.29,stage1,True,0.0,0.05,5.176676384211182e+30,1.0,0.49999999999998823,21000000.0,100000.0
1.3,stage1,True,0.0,0.05,-9.458530426736176e+30,-1.0,0.249999999999988,100000.0,21000000.0
1.31,stage1,True,0.0,0.05,1.7282092059368021e+31,1.0,0.49999999999998823,21000000.0,100000.0
1.32,stage1,True,0.0,0.05,-3.1576861570823596e+31,-1.0,0.249999999999988,100000.0,21000000.0
1.33,stage1,True,0.0,0.05,5.7695456269859585e+31,1.0,0.49999999999998823,21000000.0,100000.0
1.34,stage1,True,0.0,0.05,-1.0541787589375243e+32,-1.0,0.249999999999988,100000.0,21000000.0
1.35,stage1,True,0.0,0.05,1.9261358305187776e+32,1.0,0.49999999999998823,21000000.0,100000.0
1.36,stage1,True,0.0,0.05,-3.519326495771422e+32,-1.0,0.249999999999988,100000.0,21000000.0
1.37,stage1,True,0.0,0.05,6.4303144085652834e+32,1.0,0.49999999999998823,21000000.0,100000.0
1.38,stage1,True,0.0,0.05,-1.174910695062839e+33,-1.0,0.24999999999999356,100000.0,21000000.0
1.39,stage1,True,0.0,0.05,2.1467303986481217e+33,1.0,0.4999999999999938,21000000.0,100000.0
1.4,stage1,True,0.0,0.05,-3.9223844193819796e+33,-1.0,0.24999999999999356,100000.0,21000000.0
1.41,stage1,True,0.0,0.05,7.166759059777251e+33,1.0,0.4999999999999938,21000000.0,100000.0
1.42,stage1,True,0.0,0.05,-1.3094696982554299e+34,-1.0,0.24999999999999356,100000.0,21000000.0
1.43,stage1,True,0.0,0.05,2.3925890020118267e+34,1.0,0.4999999999999938,21000000.0,100000.0
1.44,stage1,True,0.0,0.05,-4.371603359875006e+34,-1.0,0.24999999999999356,100000.0,21000000.0
1.45,stage1,True,0.0,0.05,7.987546511331821e+34,1.0,0.4999999999999938,21000000.0,100000.0
1.46,stage1,True,0.0,0.05,-1.459439341095971e+35,-1.0,0.24999999999999356,100000.0,21000000.0
1.47,stage1,True,0.0,0.05,2.6666050549025215e+35,1.0,0.4999999999999938,21000000.0,100000.0
1.48,stage1,True,0.0,0.05,-4.872270000267231e+35,-1.0,0.24999999999999356,100000.0,21000000.0
1.49,stage1,True,0.0,0.05,8.902336291555499e+35,1.0,0.4999999999999938,21000000.0,100000.0
1.5,stage1,True,0.0,0.05,-1.6265845579904095e+36,-1.0,0.24999999999999356,100000.0,21000000.0
1.51,stage1,True,0.0,0.05,2.972003345686417e+36,1.0,0.4999999999999938,21000000.0,100000.0
1.52,stage1,True,0.0,0.05,-5.430276491548582e+36,-1.0,0.24999999999999356,100000.0,21000000.0
1.53,stage1,True,0.0,0.05,9.921894205625333e+36,1.0,0.4999999999999938,21000000.0,100000.0
1.54,stage1,True,0.0,0.05,-1.8128724159964044e+37,-1.0,0.24999999999999356,100000.0,21000000.0
1.55,stage1,True,0.0,0.05,3.312377988083482e+37,1.0,0.4999999999999938,21000000.0,100000.0
1.56,stage1,True,0.0,0.05,-6.052189795115585e+37,-1.0,0.24999999999999356,100000.0,21000000.0
1.57,stage1,True,0.0,0.05,1.1058219034143056e+38,1.0,0.4999999999999938,21000000.0,100000.0
1.58,stage1,True,0.0,0.05,-2.0204952644706075e+38,-1.0,0.24999999999999356,100000.0,21000000.0
1.59,stage1,True,0.0,0.05,3.691734718894102e+38,1.0,0.4999999999999938,21000000.0,100000.0
1.6,stage1,True,0.0,0.05,-6.7453289667862874e+38,-1.0,0.24999999999999356,100000.0,21000000.0
1.61,stage1,True,0.0,0.05,1.2324683742117848e+39,1.0,0.4999999999999938,21000000.0,100000.0
1.62,stage1,True,0.0,0.05,-2.251896535975673e+39,-1.0,0.24999999999999356,100000.0,21000000.0
1.63,stage1,True,0.0,0.05,4.1145380399573613e+39,1.0,0.49999999999998823,21000000.0,100000.0
1.64,stage1,True,0.0,0.05,-7.51785129192148e+39,-1.0,0.249999999999988,100000.0,21000000.0
1.65,stage1,True,0.0,0.05,1.3736192860190158e+40,1.0,0.49999999999998823,21000000.0,100000.0
1.66,stage1,True,0.0,0.05,-2.509799502087724e+40,-1.0,0.249999999999988,100000.0,21000000.0
1.67,stage1,True,0.0,0.05,4.58576375913855e+40,1.0,0.49999999999998823,21000000.0,100000.0
1.68,stage1,True,0.0,0.05,-8.37884828534543e+40,-1.0,0.249999999999988,100000.0,21000000.0
1.69,stage1,True,0.0,0.05,1.5309357890259984e+41,1.0,0.49999999999998823,21000000.0,100000.0
1.7,stage1,True,0.0,0.05,-2.7972393225210797e+41,-1.0,0.249999999999988,100000.0,21000000.0
1.71,stage1,True,0.0,0.05,5.110957548674377e+41,1.0,0.49999999999998823,21000000.0,100000.0
1.72,stage1,True,0.0,0.05,-9.338452685846206e+41,-1.0,0.249999999999988,100000.0,21000000.0
1.73,stage1,True,0.0,0.05,1.7062692799787962e+42,1.0,0.49999999999998823,21000000.0,100000.0
1.74,stage1,True,0.0,0.05,-3.1175987647417684e+42,-1.0,0.249999999999988,100000.0,21000000.0
1.75,stage1,True,0.0,0.05,5.696300210034952e+42,1.0,0.49999999999998823,21000000.0,100000.0
1.76,stage1,True,0.0,0.05,-1.0407957704439205e+43,-1.0,0.249999999999988,100000.0,21000000.0
1.77,stage1,True,0.0,0.05,1.9016831905481805e+43,1.0,0.49999999999998823,21000000.0,100000.0
1.78,stage1,True,0.0,0.05,-3.474648014442872e+43,-1.0,0.249999999999988,100000.0,21000000.0
