time,stage_id,y
0.78,stage1,-49
0.781,stage1,-49
0.782,stage1,-49
0.783,stage1,-49
0.784,stage1,-49
0.785,stage1,-49
0.786,stage1,-49
0.787,stage1,-49
0.788,stage1,-49
0.789,stage1,-49
0.79,stage1,-49
0.791,stage1,-49
0.792,stage1,-49
0.793,stage1,-49
0.794,stage1,-49
0.795,stage1,-49
0.796,stage1,-49
0.797,stage1,-49
0.798,stage1,-49
0.799,stage1,-49
0.8,stage1,-49
0.801,stage1,-49
0.802,stage1,-50
0.803,stage1,-50
0.804,stage1,-50
0.805,stage1,-50
0.806,stage1,-50
0.807,stage1,-50
0.808,stage1,-50
0.809,stage1,-50
0.81,stage1,-50
0.811,stage1,-50
0.812,stage1,-50
0.813,stage1,-50
0.814,stage1,-50
0.815,stage1,-50
0.816,stage1,-50
0.817,stage1,-50
0.818,stage1,-50
0.819,stage1,-50
0.82,stage1,-50
0.821,stage1,-50
0.822,stage1,-50
0.823,stage1,-50
0.824,stage1,-50
0.825,stage1,-50
0.826,stage1,-50
0.827,stage1,-50
0.828,stage1,-50
0.829,stage1,-50
0.83,stage1,-50
0.831,stage1,-50
0.832,stage1,-50
0.833,stage1,-50
0.834,stage1,-50
0.835,stage1,-50
0.836,stage1,-50
0.837,stage1,-50
0.838,stage1,-50
0.839,stage1,-50
0.84,stage1,-50
0.841,stage1,-50
0.842,stage1,-51
0.843,stage1,-51
0.844,stage1,-51
0.845,stage1,-51
0.846,stage1,-51
0.847,stage1,-51
0.848,stage1,-51
0.849,stage1,-51
0.85,stage1,-51
0.851,stage1,-51
0.852,stage1,-51
0.853,stage1,-51
0.854,stage1,-51
0.855,stage1,-51
0.856,stage1,-51
0.857,stage1,-51
0.858,stage1,-51
0.859,stage1,-51
0.86,stage1,-51
0.861,stage1,-51
0.862,stage1,-51
0.863,stage1,-51
0.864,stage1,-51
0.865,stage1,-51
0.866,stage1,-51
0.867,stage1,-51
0.868,stage1,-51
0.869,stage1,-51
0.87,stage1,-51
0.871,stage1,-51
0.872,stage1,-51
0.873,stage1,-51
0.874,stage1,-51
0.875,stage1,-51
0.876,stage1,-51
0.877,stage1,-51
0.878,stage1,-51
0.879,stage1,-51
0.88,stage1,-51
0.881,stage1,-51
0.882,stage1,-52
0.883,stage1,-52
0.884,stage1,-52
0.885,stage1,-52
0.886,stage1,-52
0.887,stage1,-52
