"time","x_m","v_mps","valve_cmd","spool_u","pA_Pa","pB_Pa"
1.76,0.11035522134242089,-2.238250643470404,1.0,-0.03917068966906292,1873438.9512238468,16935399.302688383
1.77,0.1072535992466895,-3.1077785933169597,1.0,-0.01715176543856055,4854675.0156918,13694591.479187895
1.78,0.10537117072007106,-3.26834326257385,1.0,0.032848234561439454,19626956.867473558,100000.0
1.79,0.10450561269564322,-1.2158538321476051,1.0,0.03812628781564071,21000000.0,100000.0
1.8,0.10431387206441681,0.6788607471925094,1.0,0.05712259370801515,21000000.0,100000.0
1.81,0.1096427079933459,2.943204535052093,-1.0,0.018162187148687343,16795725.705218866,4166309.4007434743
1.82,0.11288215763916046,3.6187913148512787,-1.0,-0.009611062639152089,9126166.354115143,14539480.7750993
1.83,0.11515592192271114,2.8248144780959032,-1.0,-0.027459251895994817,100000.0,21000000.0
1.84,0.11612002225152147,0.8143256450978473,-1.0,-0.03641600677556575,100000.0,21000000.0
1.85,0.11532431433646384,-2.4006355325090087,1.0,-0.03641600677556575,1929422.9660997204,16416727.71865857
1.86,0.10793780105871702,-3.6685163355120354,1.0,-0.014612095167052405,7997491.450278339,12861893.770918183
1.87,0.10126115792201273,-1.9451035457687458,1.0,0.0353879048329476,21000000.0,100000.0
1.88,0.10608693422446956,1.5376271535684447,-0.6465007016370694,0.0374451254916013,20033229.790082682,100000.0
1.89,0.10840701666325202,2.8680738570523907,-1.0,-5.174660058424735e-05,18481284.80364268,3163051.743971387
1.9,0.10874069031931269,3.5439279106148316,-1.0,-5.174660058424735e-05,12728975.029215995,8941601.946669351
1.91,0.11386538233835426,3.682208615096588,-1.0,-5.174660058424735e-05,6734152.147223519,16682299.718196822
1.92,0.11560676957188006,1.6161703278845474,-1.0,-0.05005174660058425,100000.0,21000000.0
1.93,0.11395164527574157,0.6664925080367983,-1.0,-0.05005174660058425,100000.0,21000000.0
1.94,0.11647018096546918,-0.33953403268308824,-1.0,-0.05005174660058425,100000.0,21000000.0
1.95,0.11318775152263409,-2.3693167864944336,1.0,-0.05005174660058425,2656015.0021773526,21000000.0
1.96,0.10987929977084161,-3.101904083252454,1.0,-5.174660058424735e-05,3415888.700487579,16227731.726384515
1.97,0.11110695369336694,-3.4377371617868038,1.0,-5.174660058424735e-05,6463764.426454343,11149391.291389868
1.98,0.10620523649499107,-3.5871932165721123,1.0,-5.174660058424735e-05,13802925.829992384,1929885.9618352484
1.99,0.10479890000958592,-1.5138227410341116,1.0,0.04941657643544269,21000000.0,100000.0
2.0,0.10697839444481257,-0.8497866233807367,1.0,0.04941657643544269,21000000.0,100000.0
2.01,0.10485546302048815,0.543366276016316,0.7191641858904738,0.047082135673225264,21000000.0,100000.0
2.02,0.10791082305292336,2.5355654234304463,-1.0,0.04708213567322527,18545829.822468087,3663016.4457682003
2.03,0.1111739262111459,3.1658456459299913,-1.0,0.0005886658794903646,17173303.580044035,4411702.850589708
2.04,0.11090358116844422,3.5745617044085245,-1.0,-0.008356350010876284,10774720.79505745,12289955.434161346
2.05,0.11404536980324312,3.224431832921114,-1.0,-0.008356350010876278,3613774.82985981,19959217.279136103
2.06,0.11814295315069234,-0.40767075669378494,-1.0,-0.05835635001087628,100000.0,21000000.0
2.07,0.11270066803762166,-2.550901921337678,1.0,-0.0511505423533073,3463183.387288391,21000000.0
2.08,0.10565075003385999,-3.471847151922989,1.0,-0.02875166625278258,5163506.1828370765,12133828.225635685
2.09,0.10299028509317375,-3.537177784681857,1.0,0.02124833374721742,15178125.161012067,639156.4477391392
2.1,0.10495731355231444,-2.3545630167258604,1.0,0.041203021490499446,21000000.0,100000.0
2.11,0.10514989542425421,-0.9245461359517053,1.0,0.041203021490499446,21000000.0,100000.0
