time,stage_id,disturbance_N_profile,theta_ref_rad,x_ref_m_profile,theta_rad,x_m,force_cmd_N
0.36,stage1,0.0,0.0,0.0,1.1509430391034177,-0.6836181330423373,-14.993073793674439
0.37,stage1,0.0,0.0,0.0,1.197322648151043,-0.7240452757871586,-14.99445903493955
0.38,stage1,0.0,0.0,0.0,1.242996372743014,-0.7654942305743858,-14.995567227951641
0.39,stage1,0.0,0.0,0.0,1.2878401095768848,-0.8079665082677914,-14.996453782361312
0.4,stage1,0.0,0.0,0.0,1.331734522572939,-0.8514659242932416,-14.99716302588905
0.41,stage1,0.0,0.0,0.0,1.3745647900554256,-0.8959984123062432,-14.997730420711239
0.42,stage1,0.0,0.0,0.0,1.4162203500999322,-0.941571815251096,-14.998184336568992
0.43,stage1,0.0,0.0,0.0,1.4565946630056845,-0.9881956597931818,-14.998547469255193
0.44,stage1,0.0,0.0,0.0,1.4955850051314432,-1.0358809194266945,-14.998837975404154
0.45,stage1,0.0,0.0,0.0,1.5330923038574857,-1.0846397709130844,-14.999070380323323
0.46,stage1,0.0,0.0,0.0,1.569021019377644,-1.1344853481178119,-14.999256304258658
0.47,stage1,0.0,0.0,0.0,1.6032790754926216,-1.1854314967922164,-14.999405043406927
0.48,stage1,0.0,0.0,0.0,1.635777838628618,-1.2374925333872755,-14.999524034725543
0.49,stage1,0.0,0.0,0.0,1.666432141968198,-1.2906830105725458,-14.999619227780434
0.5,stage1,0.0,0.0,0.0,1.695160350875202,-1.3450174863899573,-14.999631165088296
0.51,stage1,0.0,0.0,0.0,1.7218865336826694,-1.4005019611012683,-14.899637827299067
0.52,stage1,0.0,0.0,0.0,1.7465426714531818,-1.457131203177928,-14.670477717692371
0.53,stage1,0.0,0.0,0.0,1.7690709371404127,-1.5148867362554816,-14.290969541968819
0.54,stage1,0.0,0.0,0.0,1.7894257976034285,-1.5737354307313507,-13.747092502095196
0.55,stage1,0.0,0.0,0.0,1.8075757456008583,-1.6336286522082317,-13.031242191898151
0.56,stage1,0.0,0.0,0.0,1.8235045226805937,-1.6945019204091012,-12.141507588539655
0.57,stage1,0.0,0.0,0.0,1.837211747342207,-1.7562750289172968,-11.080937249771187
0.58,stage1,0.0,0.0,0.0,1.8487129142042684,-1.8188525702763305,-9.8567810774004
0.59,stage1,0.0,0.0,0.0,1.8580387766870012,-1.8821248045296015,-8.479708755399257
0.6,stage1,0.0,0.0,0.0,1.8652341654382611,-1.9459688037011116,-6.963016227329286
0.61,stage1,0.0,0.0,0.0,1.8703563253814783,-2.0102498011276824,-5.321838252743516
0.62,stage1,0.0,0.0,0.0,1.8734728746739229,-2.074822673603455,-3.572388080769157
0.63,stage1,0.0,0.0,0.0,1.874659498826398,-2.139533486204605,-1.7312451995117875
0.64,stage1,0.0,0.0,0.0,1.8739974934683536,-2.2042210342629898,0.18529040935620134
0.65,stage1,0.0,0.0,0.0,1.8715712612007591,-2.2687183237987374,2.1617633318647878
