time,stage_id,valve,level,leak
3.49,stage1,False,1.0,False
3.5,stage1,False,1.0,False
3.51,stage1,False,1.0,False
3.52,stage1,False,1.0,False
3.53,stage1,False,1.0,False
3.54,stage1,False,1.0,False
3.55,stage1,False,1.0,False
3.56,stage1,False,1.0,False
3.57,stage1,False,1.0,False
3.58,stage1,False,1.0,False
3.59,stage1,False,1.0,False
3.6,stage1,False,1.0,False
3.61,stage1,False,1.0,False
3.62,stage1,False,1.0,False
3.63,stage1,False,1.0,False
3.64,stage1,False,1.0,False
3.65,stage1,False,1.0,False
3.66,stage1,False,1.0,False
3.67,stage1,False,1.0,False
3.68,stage1,False,1.0,False
3.69,stage1,False,1.0,False
3.7,stage1,False,1.0,False
3.71,stage1,False,1.0,False
3.72,stage1,False,1.0,False
3.73,stage1,False,1.0,False
3.74,stage1,False,1.0,False
3.75,stage1,False,1.0,False
3.76,stage1,False,1.0,False
3.77,stage1,False,1.0,False
3.78,stage1,False,1.0,False
3.79,stage1,False,1.0,False
3.8,stage1,False,1.0,False
3.81,stage1,False,1.0,False
3.82,stage1,False,1.0,False
3.83,stage1,False,1.0,False
3.84,stage1,False,1.0,False
3.85,stage1,False,1.0,False
3.86,stage1,False,1.0,False
3.87,stage1,False,1.0,False
3.88,stage1,False,1.0,False
3.89,stage1,False,1.0,False
3.9,stage1,False,1.0,False
3.91,stage1,False,1.0,False
3.92,stage1,False,1.0,False
3.93,stage1,False,1.0,False
3.94,stage1,False,1.0,False
3.95,stage1,False,1.0,False
3.96,stage1,False,1.0,False
3.97,stage1,False,1.0,False
3.98,stage1,False,1.0,False
3.99,stage1,False,1.0,False
4.0,stage1,False,1.0,False
4.01,stage1,False,1.0,False
4.02,stage1,False,1.0,False
4.03,stage1,False,1.0,False
4.04,stage1,False,1.0,False
4.05,stage1,False,1.0,False
4.06,stage1,False,1.0,False
4.07,stage1,False,1.0,False
4.08,stage1,False,1.0,False
4.09,stage1,False,1.0,False
4.1,stage1,False,1.0,False
4.11,stage1,False,1.0,False
4.12,stage1,False,1.0,False
4.13,stage1,False,1.0,False
4.14,stage1,False,1.0,False
4.15,stage1,False,1.0,False
4.16,stage1,False,1.0,False
4.17,stage1,False,1.0,False
4.18,stage1,False,1.0,False
4.19,stage1,False,1.0,False
4.2,stage1,False,1.0,False
4.21,stage1,False,1.0,False
4.22,stage1,False,1.0,False
4.23,stage1,False,1.0,False
4.24,stage1,False,1.0,False
4.25,stage1,False,1.0,False
4.26,stage1,False,1.0,False
4.27,stage1,False,1.0,False
4.28,stage1,False,1.0,False
4.29,stage1,False,1.0,False
4.3,stage1,False,1.0,False
4.31,stage1,False,1.0,False
4.32,stage1,False,1.0,False
4.33,stage1,False,1.0,False
4.34,stage1,False,1.0,False
4.35,stage1,False,1.0,False
4.36,stage1,False,1.0,False
4.37,stage1,False,1.0,False
4.38,stage1,False,1.0,False
4.39,stage1,False,1.0,False
4.4,stage1,False,1.0,False
4.41,stage1,False,1.0,False
4.42,stage1,False,1.0,False
4.43,stage1,False,1.0,False
4.44,stage1,False,1.0,False
4.45,stage1,False,1.0,False
4.46,stage1,False,1.0,False
4.47,stage1,False,1.0,False
4.48,stage1,False,1.0,False
4.49,stage1,False,1.0,False
4.5,stage1,False,1.0,False
4.51,stage1,False,1.0,False
4.52,stage1,False,1.0,False
4.53,stage1,False,1.0,False
4.54,stage1,False,1.0,False
4.55,stage1,False,1.0,False
4.56,stage1,False,1.0,False
4.57,stage1,False,1.0,False
4.58,stage1,False,1.0,False
4.59,stage1,False,1.0,False
4.6,stage1,False,1.0,False
4.61,stage1,False,1.0,False
4.62,stage1,False,1.0,False
4.63,stage1,False,1.0,False
4.64,stage1,False,1.0,False
4.65,stage1,False,1.0,False
4.66,stage1,False,1.0,False
4.67,stage1,False,1.0,False
4.68,stage1,False,1.0,False
4.69,stage1,False,1.0,False
4.7,stage1,False,1.0,False
4.71,stage1,False,1.0,False
4.72,stage1,False,1.0,False
4.73,stage1,False,1.0,False
4.74,stage1,False,1.0,False
4.75,stage1,False,1.0,False
4.76,stage1,False,1.0,False
4.77,stage1,False,1.0,False
4.78,stage1,False,1.0,False
4.79,stage1,False,1.0,False
