case_id,source_type,case_category,ground_truth_fmu_count,ok,bundle_name,top1_hit,topk_hit,execution_success,execution_time_seconds,mae,rmse,nrmse,decision_correct,error,artifact_root
case_bench_fmu-001595,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,False,1.4331401730887592,,,,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001595
case_bench_fmu-001590,benchmark_single_fmu_case,complex,1,True,ablation_stage1_rule_template,False,False,True,4.828281510155648,4.3074964937307785,4.688809679811409,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001590
case_bench_fmu-001597,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.493478650227189,0.003833560320701191,0.0071041089950188594,0.005028469288661886,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001597
case_bench_fmu-001598,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.9801358301192522,0.012638100092564978,0.015611539777336977,0.00541596796116253,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001598
case_bench_fmu-001594,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,False,False,True,5.117298163939267,43.03202145861184,43.03202145861184,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001594
case_bench_fmu-001600,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.2085162471048534,2.1929582507955654e-08,2.8782209430508515e-08,0.0015278527836883337,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001600
case_bench_fmu-001605,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,2.368782608769834,6.379679552502482e-15,1.1986962617076869e-14,2.3153345504953964e-15,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001605
case_bench_fmu-001613,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,3.0519194998778403,2.288495763529679e-17,1.560168661101028e-16,6.1595384727003104e-18,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001613
case_bench_fmu-001621,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,False,False,False,2.369466226082295,,,,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001621
case_bench_fmu-001629,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,3.123422207776457,2.4665713542746886e-11,7.625284618363354e-11,3.0143129765399282e-05,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001629
case_bench_fmu-001657,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.9345782049931586,0.07273835665401746,0.25552263319217094,0.028411667108221884,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001657
case_bench_fmu-001665,benchmark_single_fmu_case,simple,1,False,ablation_stage1_rule_template,,,,,,,,,ValueError: compose() received empty selected_fmus,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001665
case_bench_fmu-001669,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,2.5549969007261097,0.00440901124496866,0.009657274213687676,0.00965771260816764,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001669
case_bench_fmu-001661,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,5.446766160894185,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001661
case_bench_fmu-001746,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,2.5582031686790287,0.07273835665401746,0.25552263319217094,0.028411667108221884,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001746
case_bench_fmu-001754,benchmark_single_fmu_case,simple,1,False,ablation_stage1_rule_template,,,,,,,,,ValueError: compose() received empty selected_fmus,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001754
